code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_10,sma_7,open_pct,lowest_30,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_sma_10,prev_sma_5,pre_volume_ratio_5,pre_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,code_right,buy_date,buy_price,sell_date,sell_price,profit,holding_days,trading_date_right
SHSE.603169,stock,2025-04-03,2025-04-03T16:00:00.000+0800,8.69,8.36,9.56,8.36,9.56,9.56,7.82,243618816.0,2285751808.0,10.01,1.6285399198532104,9.38,5692703907.200001,1,true,false,false,,涨停,8天4板,6天3板,8.104,7.221000000000001,7.6814285714285715,-3.7974683544303804,5.37,1.3524949372518578,1.0,0.0,0.0,1,炸板,7.2371428571428575,6.855000000000001,7.485999999999999,2.1819191582582014,6.76,0.43333333333333324,0.0,0.5666666666666668,-1,SHSE.603169,2025-04-03 09:30,8.36,2025-04-07 11:28:00,9.36,11.894565601611394,1.49,2025-04-03
SZSE.000880,stock,2025-04-03,2025-04-03T16:00:00.000+0800,36.0,34.4,38.8,33.0,36.7,39.6,32.4,57290424.0,2025821952.0,1.94,4.070654392242432,35.36,5506538464.0,1,false,false,true,断板,断板,断板,1天1板,33.682,33.381,32.839999999999996,-4.444444444444448,23.28,1.3753826015278123,0.39655172413793194,0.3620689655172406,0.24137931034482746,1,断板,32.22,33.253,32.382000000000005,1.4394428449143326,7.17,0.5932203389830503,0.08135593220339042,0.3254237288135593,1,SZSE.000880,2025-04-03 09:30,34.4,2025-04-07 11:28:00,37.57,9.149606862127435,1.49,2025-04-03
SHSE.600789,stock,2025-04-07,2025-04-07T16:00:00.000+0800,11.33,10.88,11.0,10.2,10.2,12.46,10.2,135617008.0,1421894656.0,-9.97,2.8613626956939697,10.48,6914594198.4,1,false,false,true,断板,断板,断板,5天2板,10.786,10.574,10.755714285714285,-3.9717563989408586,9.13,0.7848910267102098,0.8500000000000011,0.14999999999999888,0.0,-1,断板,10.85142857142857,10.493,10.842,1.1854795754481868,1.61,0.18987341772151922,0.8101265822784808,0.0,1,SHSE.600789,2025-04-07 09:30,10.88,2025-04-08 09:30:00,9.8,-9.980498497509558,1.0,2025-04-07
SZSE.002437,stock,2025-04-07,2025-04-07T16:00:00.000+0800,2.66,2.55,2.62,2.39,2.39,2.93,2.39,147423808.0,365340768.0,-10.15,15.877457618713379,2.48,4346240085.440001,1,false,false,true,断板,断板,断板,1天1板,2.554,2.515,2.54,-4.135338345864673,2.37,1.0143099963148927,0.6956521739130422,0.30434782608695776,0.0,-1,断板,2.551428571428571,2.527,2.5740000000000003,1.3318537651155444,1.53,0.3571428571428587,0.6428571428571412,0.0,1,SZSE.002437,2025-04-07 09:30,2.55,2025-04-08 11:28:00,2.37,-7.11457151089965,1.49,2025-04-07
SHSE.600032,stock,2025-04-08,2025-04-08T16:00:00.000+0800,8.93,8.56,9.2,8.56,9.06,9.82,8.04,90448768.0,806211648.0,1.46,1.0269949436187744,8.91,3689224887.9,1,false,false,true,断板,断板,断板,1天1板,8.411999999999997,8.059999999999999,8.16714285714286,-4.143337066069421,7.23,1.6160695352824679,0.7812500000000014,0.21874999999999853,0.0,1,断板,7.961428571428574,7.931,8.111999999999998,2.6456950926049996,5.06,0.6269841269841255,0.29365079365079405,0.07936507936508039,1,SHSE.600032,2025-04-08 09:30,8.56,2025-04-09 11:28:00,8.42,-1.6945150099829942,1.49,2025-04-08
SHSE.600292,stock,2025-04-08,2025-04-08T16:00:00.000+0800,14.37,13.85,14.44,13.5,13.92,15.81,12.93,72605288.0,1008169472.0,-3.13,4.312359809875488,13.89,5182426634.88,1,false,false,true,断板,断板,断板,1天1板,13.222,12.376999999999999,12.791428571428572,-3.618649965205286,11.02,1.0415972271269685,0.07446808510638332,0.5531914893617019,0.3723404255319147,1,断板,12.445714285714287,12.109,12.778,2.6304305026544306,5.74,0.5117647058823527,0.19411764705882364,0.29411764705882365,1,SHSE.600292,2025-04-08 09:30,13.85,2025-04-09 11:28:00,14.47,4.413867175587401,1.49,2025-04-08
SHSE.600368,stock,2025-04-09,2025-04-09T16:00:00.000+0800,5.18,5.0,5.59,4.66,5.44,5.7,4.66,202464624.0,1031864320.0,5.02,5.510354518890381,5.1,4337869045.12,1,false,false,true,断板,断板,断板,1天1板,5.036,4.768,4.864285714285715,-3.4749034749034693,4.12,1.2435146535206065,0.47311827956989305,0.16129032258064463,0.3655913978494623,1,炸板,4.714285714285714,4.6819999999999995,4.837999999999999,1.696950033607883,6.58,0.6730769230769229,0.32692307692307704,0.0,1,SHSE.600368,2025-04-09 09:30,5.0,2025-04-10 11:28:00,5.58,11.533060081975407,1.49,2025-04-09
SZSE.000008,stock,2025-04-09,2025-04-09T16:00:00.000+0800,2.75,2.68,2.95,2.68,2.89,3.03,2.48,267651344.0,751779008.0,5.09,26.739215850830078,2.81,4691126714.93,1,false,false,true,断板,断板,断板,1天1板,2.7060000000000004,2.6580000000000004,2.665714285714286,-2.5454545454545396,2.52,1.6149040692790984,0.7777777777777776,0.2222222222222224,0.0,1,炸板,2.6214285714285714,2.6350000000000002,2.6420000000000003,1.944907382036216,8.7,0.7826086956521747,0.13043478260869482,0.08695652173913052,1,SZSE.000008,2025-04-09 09:30,2.68,2025-04-10 11:28:00,3.09,15.229349105716059,1.49,2025-04-09
SHSE.600300,stock,2025-04-10,2025-04-10T16:00:00.000+0800,3.88,3.7,4.14,3.69,3.99,4.27,3.49,296641376.0,1173864960.0,2.84,7.623660564422607,3.96,4039805980.98,1,false,false,true,断板,断板,断板,1天1板,3.6799999999999997,3.537,3.591428571428572,-4.639175257731951,3.12,1.3536705695129978,0.6444444444444449,0.33333333333333237,0.022222222222222747,1,炸板,3.4957142857142864,3.496,3.554,2.3261270297125485,4.86,0.30434782608695554,0.41304347826087007,0.2826086956521744,1,SHSE.600300,2025-04-10 09:30,3.7,2025-04-11 11:28:00,3.82,3.1813158755076274,1.49,2025-04-10
SHSE.600536,stock,2025-04-10,2025-04-10T16:00:00.000+0800,51.18,49.8,51.28,48.0,49.73,56.3,46.06,83569264.0,4183860480.0,-2.83,8.973487854003906,50.06,26665118334.55,1,false,false,true,断板,断板,断板,1天1板,48.089999999999996,45.77,46.629999999999995,-2.6963657678780826,42.58,1.0713591473890618,0.021341463414634224,0.451219512195123,0.5274390243902428,-1,断板,45.69571428571428,45.137,46.772000000000006,1.829755948307592,2.87,0.3264840182648399,0.5296803652968034,0.14383561643835666,1,SHSE.600536,2025-04-10 09:30,49.8,2025-04-11 11:28:00,49.26,-1.1436689475085071,1.49,2025-04-10
