code,trading_date,open,high,low,close,pre_close,change,pct,volume,amount,limit_up,limit_down,type,type_name,name,vol_ratio,turn_over,swing,selling,buying,total_share,float_share,pe,industry,area,float_mv,total_mv,avg_price,strength,activity,avg_turnover,attack,free_float_mv,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_7,open_pct,close_sma7_pct,vwap,touch_limit_down,lowest_30,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,signal,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason,trading_date_right,weight,weight_profit
SZSE.002759,2021-01-15,21.0,23.72,19.63,23.1,21.59,1.51,6.994,239350.87,51009.758,23.75,19.43,,,天际股份,0.99,5.95,18.94,118359,120992,4.02,4.02,0.0,家用电器,广东,92.9,92.9,21.31,7.25,3892,0.0,17.68,39.17996243700001,false,false,false,,未涨停,未涨停,4天2板,20.794,20.544285714285714,-2.7327466419638715,12.440025033029704,21.31170778698235,false,16.5,炸板,20.03142857142857,4.8058,21.4703940589665,7.780630437883332,1,SZSE.002759,2021-01-15T09:30:00.000000,21.0,2021-01-18T11:30:00.000000,24.03,13.971770744225855,1.5,未涨停卖出,2021-01-15,0.4,5.588708297690342
SHSE.601766,2021-01-18,6.96,7.44,6.95,7.28,7.14,0.14,1.9608,5341187.8,384891.96630000003,7.85,6.43,,,中国中车,0.85,2.2,6.86,2539837,2801351,286.99,243.28,23.07,运输设备,北京,1771.06,2089.28,7.21,1.12,4741,0.0,4.75,711.2129459344,false,false,true,断板,断板,断板,2天2板,7.06,6.761428571428572,-2.521008403361341,7.669554193957323,7.206111837146038,false,5.24,断板,6.598571428571428,-6.422,7.348854542359252,8.205239229270411,1,SHSE.601766,2021-01-18T09:30:00.000000,6.96,2021-01-19T11:30:00.000000,7.02,0.45942597563492477,1.5,未涨停卖出,2021-01-18,0.4,0.1837703902539699
SHSE.600185,2021-01-19,6.9,7.39,6.63,7.05,7.1,-0.05,-0.7042,1409327.78,98284.6624,7.81,6.39,,,格力地产,1.03,6.84,10.7,706155,703173,20.61,20.61,18.25,区域地产,广东,145.31,145.31,6.97,0.13,4617,0.0,6.33,85.569491325,false,false,false,,未涨停,未涨停,3天3板,7.086,6.687142857142858,-2.8169014084506943,5.426190984832289,6.973868236670961,false,5.11,断板,6.472857142857143,-5.3333,7.100907277962513,9.688810417126449,1,SHSE.600185,2021-01-19T09:30:00.000000,6.9,2021-01-20T11:30:00.000000,7.01,1.1886372183169842,1.5,未涨停卖出,2021-01-19,0.4,0.4754548873267937
SZSE.002263,2021-01-20,3.43,3.87,3.43,3.87,3.52,0.35,9.9432,3043306.41,112960.22020000001,3.87,3.17,,,大东南,1.46,16.2,12.5,1227766,1815540,18.78,18.78,77.52,塑料,浙江,72.69,72.69,3.71,8.48,2500,0.01,12.83,52.406923896,true,false,false,,涨停,5天4板,3天3板,3.482,3.29,-2.5568181818181777,17.629179331306993,3.7117596778564277,false,2.66,炸板,3.16,-3.8251,3.8476831281832315,11.392405063291134,1,SZSE.002263,2021-01-20T09:30:00.000000,3.43,2021-01-21T11:30:00.000000,3.75,8.893001169672301,1.5,未涨停卖出,2021-01-20,0.4,3.5572004678689204
SZSE.000301,2021-01-22,14.82,15.56,14.7,15.22,15.27,-0.05,-0.3274,604088.82,91982.016,16.8,13.74,,,东方盛虹,0.49,3.49,5.63,275504,328585,48.35,17.32,234.01,化纤,江苏,263.58,735.87,15.23,-1.02,4566,0.0,3.54,214.42612452900005,false,false,false,,未涨停,未涨停,2天2板,14.346,13.705714285714285,-2.946954813359524,11.048572024181794,15.22657148331267,false,8.98,断板,13.434285714285716,3.5957,15.07381076070954,13.664398128455959,1,SZSE.000301,2021-01-22T09:30:00.000000,14.82,2021-01-25T11:30:00.000000,15.71,5.582222868702562,1.5,未涨停卖出,2021-01-22,0.4,2.232889147481025
SZSE.000612,2021-01-22,8.16,8.67,8.0,8.19,8.44,-0.25,-2.9621,977890.46,80604.13390000002,9.28,7.6,,,焦作万方,1.18,8.21,7.94,526472,451418,11.92,11.91,19.85,铝,河南,97.55,97.64,8.24,-3.66,4542,0.0,2.38,45.1165409604,false,false,true,断板,断板,断板,4天3板,7.944,7.555714285714286,-3.317535545023689,8.394781622234817,8.242654693655567,false,6.23,断板,7.374285714285714,3.9409,8.445863965246934,14.451762882603644,1,SZSE.000612,2021-01-22T09:30:00.000000,8.16,2021-01-25T11:30:00.000000,7.99,-2.474218230206242,1.5,未涨停卖出,2021-01-22,0.4,-0.9896872920824968
SZSE.000615,2021-01-22,11.14,11.35,10.31,10.86,11.45,-0.59,-5.1528,720528.54,76483.1253,12.6,10.31,,,奥园美谷,1.23,9.31,9.08,398059,322470,7.81,7.74,0.0,化纤,湖北,84.04,84.84,10.61,-5.85,4527,0.0,5.33,47.7858660738,false,false,true,断板,断板,断板,4天2板,10.792,10.39,-2.707423580786015,4.523580365736274,10.614864096847572,true,7.72,断板,10.15,2.8751,11.287601679977849,12.807881773399005,1,SZSE.000615,2021-01-22T09:30:00.000000,11.14,2021-01-25T11:30:00.000000,10.77,-3.7073071093002627,1.5,未涨停卖出,2021-01-22,0.4,-1.4829228437201052
SHSE.600111,2021-01-26,17.52,19.36,17.51,18.89,18.01,0.88,4.8862,3506055.46,649150.0685,19.81,16.21,,,北方稀土,1.18,9.65,10.27,1605699,1900356,36.33,36.33,101.34,小金属,内蒙,686.29,686.29,18.52,6.4,4743,0.0,7.88,431.8567122529,false,false,false,,未涨停,未涨停,4天3板,17.722,16.89857142857143,-2.7207107162687505,11.784597176430802,18.515111238428617,false,13.0,断板,16.177142857142858,-1.5847,18.773469857486976,11.329918756623107,1,SHSE.600111,2021-01-26T09:30:00.000000,17.52,2021-01-27T11:30:00.000000,17.57,-0.11495274291597912,1.5,未涨停卖出,2021-01-26,0.4,-0.04598109716639165
SHSE.603919,2021-01-26,38.0,38.99,35.98,36.4,39.57,-3.17,-8.0111,179223.24,66257.56090000001,43.53,35.61,,,金徽酒,0.83,3.65,7.61,100624,78599,5.07,4.91,87.21,白酒,甘肃,178.84,184.64,36.97,-6.5,4302,0.0,1.17,37.123077264,false,false,false,,未涨停,未涨停,2天2板,38.122,36.684285714285714,-3.9676522618145067,-0.7749522956501457,36.96929086875118,false,31.0,断板,36.26714285714286,2.2481,39.55126447143602,9.107023279631306,1,SHSE.603919,2021-01-26T09:30:00.000000,38.0,2021-01-27T11:30:00.000000,35.53,-6.873253493013973,1.5,未涨停卖出,2021-01-26,0.4,-2.7493013972055893
SZSE.000831,2021-01-26,16.7,18.88,16.66,18.88,17.16,1.72,10.0233,983218.8,173760.2967,18.88,15.44,,,五矿稀土,1.0,10.02,12.94,535630,447589,9.81,9.81,103.16,小金属,山西,185.19,185.19,17.67,12.3,4599,0.0,13.33,110.96348441599999,true,false,false,,涨停,5天3板,2天2板,17.518,16.852857142857143,-2.6806526806526856,12.028481817411198,17.672597055711304,false,13.5,断板,16.262857142857143,-3.9731,17.702668855916787,5.516514406184116,1,SZSE.000831,2021-01-26T09:30:00.000000,16.7,2021-01-27T11:30:00.000000,18.2,8.546977900486448,1.5,未涨停卖出,2021-01-26,0.4,3.4187911601945795
SHSE.601015,2021-01-28,6.98,7.31,6.57,6.57,7.3,-0.73,-10.0,1498635.59,101541.14490000001,8.03,6.57,,,陕西黑猫,1.56,9.2,10.14,789997,708639,16.3,16.3,326.72,焦炭加工,陕西,107.08,107.08,6.78,-8.09,4620,0.0,0.0,36.05201051940001,false,false,true,断板,断板,断板,8天7板,6.992,6.63,-4.383561643835608,-0.9049773755656051,6.775572766158584,true,3.62,炸板,6.398571428571429,-5.3178,7.601125293227757,14.087966063853536,1,SHSE.601015,2021-01-28T09:30:00.000000,6.98,2021-01-29T11:30:00.000000,6.26,-10.673209455015485,1.5,止损卖出,2021-01-28,0.4,-4.269283782006194
SZSE.000831,2021-01-28,17.47,19.5,17.44,18.73,18.0,0.73,4.0556,1086251.93,202274.78470000002,19.8,16.2,,,五矿稀土,1.04,11.07,11.44,481410,604842,9.81,9.81,102.34,小金属,山西,183.72,183.72,18.62,7.3,4671,0.0,7.4,110.081888936,false,false,true,断板,断板,断板,5天3板,18.128,17.759999999999998,-2.944444444444451,5.461711711711726,18.62135100648337,false,13.5,断板,17.167142857142856,-4.661,18.068629665487304,4.851460431056009,1,SZSE.000831,2021-01-28T09:30:00.000000,17.47,2021-01-29T11:30:00.000000,18.33,4.503871478565475,1.5,未涨停卖出,2021-01-28,0.4,1.8015485914261902
SZSE.002240,2021-01-28,29.0,30.48,28.33,28.65,30.14,-1.49,-4.9436,676630.63,198043.07290000003,33.15,27.13,,,盛新锂能,0.78,9.72,7.13,351288,325343,7.5,6.96,318.74,小金属,深圳,199.47,214.79,29.27,-1.7,4623,0.0,1.13,150.8255570775,false,false,false,,未涨停,未涨停,3天2板,29.076,27.58142857142857,-3.7823490378234923,3.8742425027192176,29.26900795194566,false,20.3,断板,26.645714285714288,1.9966,28.5400876522806,13.11387518764743,1,SZSE.002240,2021-01-28T09:30:00.000000,29.0,2021-01-29T11:30:00.000000,27.79,-4.554959047422398,1.5,未涨停卖出,2021-01-28,0.4,-1.821983618968959
SZSE.002648,2021-02-03,40.5,41.63,39.99,41.19,41.78,-0.59,-1.4122,206429.63,84460.28590000002,45.96,37.6,,,卫星石化,1.39,2.14,7.8,104730,123091,12.26,10.64,42.57,化工原料,浙江,444.6,512.03,40.99,5.89,4624,0.0,5.85,183.3489341394,false,false,true,断板,断板,断板,2天2板,37.766,36.53285714285714,-3.06366682623265,12.747819966370786,40.914807578737616,false,25.37,断板,35.48857142857143,7.9587,40.98947647587567,17.728041220513635,1,SZSE.002648,2021-02-03T09:30:00.000000,40.5,2021-02-04T11:30:00.000000,40.98,0.7812523101944148,1.5,未涨停卖出,2021-02-03,0.4,0.3125009240777659
SZSE.002331,2021-02-05,17.8,18.0,16.73,16.73,18.59,-1.86,-10.0054,46857.0,8009.7678000000005,20.45,16.73,,,皖通科技,0.16,1.22,6.83,14961,31896,4.12,3.83,115.08,软件服务,安徽,64.08,68.94,17.09,-9.35,1093,0.0,0.0,36.7778017523,false,false,true,断板,断板,断板,7天5板,16.868000000000002,16.107142857142858,-4.24959655728886,3.866962305986696,17.094068762404763,true,10.27,炸板,15.867142857142857,3.7388,18.48533315666149,17.16034932925182,1,SZSE.002331,2021-02-05T09:30:00.000000,17.8,2021-02-18T09:30:00.000000,11.78,-34.084415438785356,4.0,止损卖出,2021-02-05,0.4,-13.633766175514143
SHSE.600055,2021-02-09,13.57,15.31,13.15,15.31,13.92,1.39,9.9856,780937.6,112914.4105,15.31,12.53,,,万东医疗,4.35,14.44,15.52,344309,436629,5.41,5.41,41.95,医疗保健,北京,82.8,82.8,14.46,7.97,4244,0.0,16.43,46.0417977537,true,false,false,,涨停,6天5板,4天4板,13.280000000000001,12.27,-2.514367816091952,24.775876120619404,14.458826223759749,false,9.17,断板,11.45857142857143,2.4283,13.975921188428963,21.481112080787916,1,SHSE.600055,2021-02-09T09:30:00.000000,13.57,2021-02-10T11:30:00.000000,14.98,9.949886520253525,1.5,未涨停卖出,2021-02-09,0.4,3.9799546081014103
SHSE.603987,2021-02-09,19.51,21.68,19.51,21.16,20.24,0.92,4.5455,185617.85,38675.0279,22.26,18.22,,,康德莱,0.8,4.25,10.72,93422,92196,4.42,4.36,46.1,医疗保健,上海,92.35,93.44,20.84,2.53,4254,0.0,8.46,55.20855388400001,false,false,true,断板,断板,断板,2天1板,19.65,18.91,-3.6067193675889175,11.89846641988366,20.835834430794236,false,13.37,断板,18.257142857142856,-2.2222,19.702531121715467,10.860719874804378,1,SHSE.603987,2021-02-09T09:30:00.000000,19.51,2021-02-10T11:30:00.000000,20.19,3.072276768861043,1.5,未涨停卖出,2021-02-09,0.4,1.2289107075444172
SZSE.002612,2021-02-09,22.94,25.54,21.58,23.98,23.98,0.0,0.0,416500.87,98444.62400000001,26.38,21.58,,,朗姿股份,1.05,15.94,16.51,208995,207506,4.42,2.61,159.17,服饰,北京,62.67,106.1,23.64,-2.36,4607,0.0,11.12,43.4326424246,false,false,true,断板,断板,断板,3天2板,24.168,23.49285714285714,-4.336947456213508,2.073578595317739,23.63611485373368,true,19.29,断板,23.084285714285716,-9.985,24.526359702074465,3.8801906058543154,1,SZSE.002612,2021-02-09T09:30:00.000000,22.94,2021-02-18T11:30:00.000000,27.5,19.39938779807429,2.5,未涨停卖出,2021-02-09,0.4,7.759755119229716
SHSE.600055,2021-02-18,13.67,14.51,13.61,13.68,14.06,-0.38,-2.7027,417544.98,58407.0757,15.47,12.65,,,万东医疗,0.93,7.72,6.4,219975,197570,5.41,5.41,37.48,医疗保健,北京,73.98,73.98,13.99,-3.26,4230,0.0,0.51,41.13989505360001,false,false,true,断板,断板,断板,6天5板,14.112,13.448571428571428,-2.7738264580369885,1.720841300191204,13.988211689193342,false,9.17,断板,12.952857142857143,-8.1646,14.64511462700571,8.54747987206353,1,SHSE.600055,2021-02-18T09:30:00.000000,13.67,2021-02-19T11:30:00.000000,12.99,-5.353740215253469,1.5,未涨停卖出,2021-02-18,0.4,-2.141496086101388
SHSE.600392,2021-02-23,23.0,26.16,22.86,25.49,24.0,1.49,6.2083,2084675.39,513446.78839999996,26.4,21.6,,,盛和资源,1.12,11.88,13.75,960211,1124464,17.55,17.55,228.48,小金属,四川,447.39,447.39,24.63,6.38,4738,0.0,11.5,303.5046600563,false,false,false,,未涨停,未涨停,3天3板,23.584,21.997142857142855,-4.166666666666666,15.878685543577095,24.629579783162306,false,9.0,断板,20.782857142857143,-3.1868,25.386010330841096,15.4797910365686,1,SHSE.600392,2021-02-23T09:30:00.000000,23.0,2021-02-24T11:30:00.000000,23.04,-0.22598281697474215,1.5,未涨停卖出,2021-02-23,0.4,-0.09039312678989686
SHSE.600997,2021-02-23,7.5,7.84,7.41,7.53,7.88,-0.35,-4.4416,880421.4,66908.9629,8.67,7.09,,,开滦股份,0.96,5.54,5.46,455521,424900,15.88,15.88,11.13,煤炭开采,河北,119.56,119.56,7.6,-4.27,4430,0.0,1.62,37.8290140032,false,false,false,,未涨停,未涨停,3天3板,7.894,7.4871428571428575,-4.822335025380709,0.5724098454493396,7.599652041624613,false,5.3,断板,7.292857142857144,-6.0787,8.363418882395537,8.050930460332994,1,SHSE.600997,2021-02-23T09:30:00.000000,7.5,2021-02-24T11:30:00.000000,7.52,-0.1335994677312096,1.5,未涨停卖出,2021-02-23,0.4,-0.05343978709248384
SHSE.601168,2021-02-23,17.89,18.25,17.34,17.37,18.38,-1.01,-5.4951,1397335.14,249654.6951,20.22,16.54,,,西部矿业,0.94,5.86,4.95,749079,648256,23.83,23.83,37.27,铜,青海,413.93,413.93,17.87,-5.33,4725,0.0,0.17,289.7489877174,false,false,false,,未涨停,未涨停,2天2板,17.144,16.057142857142857,-2.665941240478773,8.1761565836299,17.866486568139983,false,11.88,断板,15.302857142857144,0.989,19.140132175655612,20.108289768483925,1,SHSE.601168,2021-02-23T09:30:00.000000,17.89,2021-02-24T11:30:00.000000,17.15,-4.519078109850739,1.5,未涨停卖出,2021-02-23,0.4,-1.8076312439402955
SZSE.002145,2021-02-23,10.48,10.79,10.12,10.27,10.79,-0.52,-4.8193,1404908.61,146950.59180000002,11.87,9.71,,,中核钛白,0.77,8.83,6.21,732593,672316,20.54,15.91,44.43,化工原料,甘肃,163.4,210.91,10.46,-4.21,4616,0.0,1.48,119.1904081602,false,false,true,断板,断板,断板,3天2板,9.952,9.379999999999999,-2.8730305838739456,9.488272921108749,10.45979722481735,false,5.49,炸板,8.98,4.6557,10.890617213958015,20.15590200445433,1,SZSE.002145,2021-02-23T09:30:00.000000,10.48,2021-02-24T11:30:00.000000,10.54,0.1710319818378421,1.5,未涨停卖出,2021-02-23,0.4,0.06841279273513684
SZSE.002612,2021-02-23,30.02,33.66,28.57,33.49,30.85,2.64,8.5575,538884.93,165843.9131,33.94,27.77,,,朗姿股份,1.12,20.62,16.5,260205,278680,4.42,2.61,222.29,服饰,北京,87.53,148.17,30.78,9.17,4700,0.0,17.22,60.657180767300005,false,false,true,断板,断板,断板,8天4板,29.522000000000002,27.93857142857143,-2.690437601296602,19.87012322953419,30.775385219994924,false,19.29,炸板,26.96,3.5235,31.42941325023135,14.42878338278932,1,SZSE.002612,2021-02-23T09:30:00.000000,30.02,2021-02-24T11:30:00.000000,33.97,12.706166614140137,1.5,未涨停卖出,2021-02-23,0.4,5.082466645656055
SZSE.002092,2021-02-24,11.7,12.09,11.08,11.08,12.31,-1.23,-9.9919,1843545.78,210901.72360000003,13.54,11.08,,,中泰化学,1.35,8.59,8.2,852196,991350,21.46,21.46,0.0,化工原料,新疆,237.81,237.83,11.44,-7.55,4630,0.0,0.0,156.6872539228,false,false,false,,未涨停,未涨停,2天2板,11.402,10.781428571428572,-4.955320877335509,2.7693123095269594,11.440004684885016,true,5.91,断板,10.418571428571427,1.5677,12.206444482966843,18.15439462498288,1,SZSE.002092,2021-02-24T09:30:00.000000,11.7,2021-02-25T11:30:00.000000,10.74,-8.571574799119688,1.5,未涨停卖出,2021-02-24,0.4,-3.428629919647875
SZSE.002612,2021-02-24,32.5,35.11,30.99,31.0,33.49,-2.49,-7.4351,490421.95,162014.47250000003,36.84,30.14,,,朗姿股份,0.97,18.76,12.3,255582,234840,4.42,2.61,205.76,服饰,北京,81.02,137.16,33.04,-4.99,4668,0.0,0.03,56.14728587,false,false,false,,未涨停,未涨停,8天4板,30.445999999999998,28.94142857142857,-2.9561063003881816,7.1128880991164465,33.035730252285816,false,19.29,断板,27.93857142857143,8.5575,30.775385219994924,19.87012322953419,1,SZSE.002612,2021-02-24T09:30:00.000000,32.5,2021-02-25T11:30:00.000000,30.4,-6.834945493628128,1.5,未涨停卖出,2021-02-24,0.4,-2.7339781974512514
