code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_10,sma_7,open_pct,lowest_30,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_sma_10,prev_sma_5,pre_volume_ratio_5,pre_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,signal,code_right,buy_date,buy_price,sell_date,sell_price,profit,holding_days,trading_date_right
SHSE.600155,stock,2021-05-19,2021-05-19T16:00:00.000+0800,11.34,11.0,11.71,11.0,11.17,12.47,10.21,70093440.0,790838464.0,-1.5,2.832214117050171,11.28,11662944163.6,1,false,false,true,断板,断板,断板,5天3板,10.958,10.125,10.594285714285714,-2.9982363315696636,8.55,0.9570855020107722,0.23943661971830948,0.7605633802816906,0.0,1,断板,10.262857142857143,9.934999999999999,10.65,1.5163802037199228,-3.9,0.3666666666666665,0.6000000000000009,0.033333333333332646,-1,1,SHSE.600155,2021-05-19 09:30,11.0,2021-05-20 11:28:00,11.49,4.391891523452089,1.49,2021-05-19
SHSE.600155,stock,2021-05-20,2021-05-20T16:00:00.000+0800,11.17,10.85,12.2,10.85,11.74,12.29,10.05,90436808.0,1049865792.0,5.1,2.832214117050171,11.61,12258098879.2,1,false,false,true,断板,断板,断板,5天3板,11.356,10.381,10.879999999999999,-2.8648164726947205,8.55,1.0596780068088942,0.6592592592592599,0.3407407407407401,0.0,1,断板,10.594285714285714,10.125,10.958,0.9570855020107722,-1.5,0.23943661971830948,0.7605633802816906,0.0,1,1,SHSE.600155,2021-05-20 09:30,10.85,2021-05-21 11:28:00,11.22,3.3481107741410443,1.49,2021-05-20
SHSE.600759,stock,2021-05-20,2021-05-20T16:00:00.000+0800,2.26,2.19,2.47,2.19,2.38,2.49,2.03,205884144.0,478080768.0,5.31,4.46298885345459,2.32,3564140575.66,1,false,false,true,断板,断板,断板,5天2板,2.2439999999999998,2.185,2.2357142857142853,-3.097345132743356,1.89,1.350765143320829,0.6785714285714278,0.32142857142857223,0.0,1,断板,2.187142857142857,2.145,2.2059999999999995,1.3642404898932228,-2.59,0.2857142857142857,0.6428571428571445,0.07142857142856984,-1,1,SHSE.600759,2021-05-20 09:30,2.19,2021-05-21 11:28:00,2.33,6.32887759243005,1.49,2021-05-20
SZSE.000893,stock,2021-05-20,2021-05-20T16:00:00.000+0800,17.1,16.52,16.88,15.45,16.3,18.81,15.39,20060336.0,324480352.0,-4.68,2.043193817138672,16.18,3847516319.8,1,false,false,true,断板,断板,断板,9天4板,16.034,14.973000000000003,15.84142857142857,-3.3918128654970867,10.5,0.7911942797942999,0.15384615384615308,0.2517482517482514,0.5944055944055955,-1,炸板,15.49,14.584,15.874,1.1384487874677969,4.52,0.42790697674418676,0.41860465116278994,0.15348837209302327,1,1,SZSE.000893,2021-05-20 09:30,16.52,2021-05-21 11:28:00,16.38,-0.9069313104373844,1.49,2021-05-20
SZSE.002426,stock,2021-05-20,2021-05-20T16:00:00.000+0800,2.88,2.77,2.99,2.77,2.88,3.17,2.59,186234912.0,535728160.0,0.0,5.273509979248047,2.88,7599123161.28,1,false,false,true,断板,断板,断板,7天5板,2.886,2.719,2.8957142857142855,-3.8194444444444406,2.01,0.5867437595097051,0.499999999999999,0.500000000000001,0.0,1,断板,2.845714285714286,2.6399999999999997,2.9219999999999997,1.1924185474150515,-3.03,0.38709677419354865,0.5483870967741932,0.0645161290322581,-1,1,SZSE.002426,2021-05-20 09:30,2.77,2021-05-21 11:28:00,2.78,0.3008122833907962,1.49,2021-05-20
SZSE.000829,stock,2021-05-21,2021-05-21T16:00:00.000+0800,9.19,8.89,8.98,8.52,8.74,10.11,8.27,84265112.0,737921408.0,-4.9,14.904753684997559,8.76,4910475298.46,1,false,false,true,断板,断板,断板,4天2板,8.648,7.839,8.262857142857143,-3.2644178454842105,5.58,0.7053009675640028,0.3260869565217393,0.1956521739130428,0.4782608695652179,-1,炸板,7.952857142857143,7.6579999999999995,8.43,1.1896049110832099,7.23,0.627272727272727,0.21818181818181845,0.15454545454545454,1,1,SZSE.000829,2021-05-21 09:30,8.89,2021-05-24 11:28:00,8.47,-4.781557658686622,1.49,2021-05-21
SZSE.000966,stock,2021-05-21,2021-05-21T16:00:00.000+0800,11.33,11.01,12.46,10.68,12.38,12.46,10.2,276322528.0,3264117504.0,9.27,3.9285244941711426,11.81,6834156444.740001,1,false,true,false,,炸板,4天1板,2天1板,10.662,10.077000000000002,10.278571428571428,-2.8243601059135064,7.31,1.3568212258887826,0.7696629213483147,0.044943820224719114,0.18539325842696622,1,炸板,9.888571428571428,9.716000000000001,10.038,1.6485407739107338,5.49,0.08571428571428513,0.3357142857142861,0.5785714285714287,1,1,SZSE.000966,2021-05-21 09:30,11.01,2021-05-24 11:28:00,12.08,9.65262646455839,1.49,2021-05-21
SHSE.600007,stock,2021-05-26,2021-05-26T16:00:00.000+0800,23.4,22.44,22.68,21.43,21.88,25.74,21.06,14872577.0,325210368.0,-6.5,1.8075181245803833,21.87,4264899770.8399997,1,false,false,true,断板,断板,断板,14天6板,23.211999999999996,22.731,23.15285714285714,-4.1025641025640915,12.02,0.9250986418446637,0.44800000000000184,0.19199999999999875,0.35999999999999943,-1,断板,23.06714285714286,22.458000000000002,23.356,1.230408778880009,-8.13,0.673960612691467,0.22100656455142204,0.10503282275711098,-1,1,SHSE.600007,2021-05-26 09:30,22.44,2021-05-27 11:28:00,21.71,-3.3111501487165214,1.49,2021-05-26
SHSE.600744,stock,2021-05-26,2021-05-26T16:00:00.000+0800,9.24,8.87,10.02,8.65,9.55,10.16,8.32,344669856.0,3240546304.0,3.35,4.026995658874512,9.4,6012413316.25,1,false,false,true,断板,断板,断板,4天4板,8.986,7.824000000000001,8.474285714285715,-4.004329004329015,4.61,1.0668769926064994,0.49635036496350504,0.3430656934306563,0.16058394160583866,1,断板,8.0,7.502,8.584,1.139904049568116,5.84,0.46341463414634326,0.2560975609756091,0.28048780487804764,1,1,SHSE.600744,2021-05-26 09:30,8.87,2021-05-27 11:28:00,9.63,8.503086052763658,1.49,2021-05-26
SHSE.600327,stock,2021-05-27,2021-05-27T16:00:00.000+0800,7.21,6.99,7.38,6.49,7.0,7.93,6.49,89612544.0,614628096.0,-2.91,15.691790580749512,6.86,3263400056.0,1,false,false,true,断板,断板,断板,5天5板,6.888,5.891,6.417142857142857,-3.051317614424407,3.96,1.4207319026906338,0.011235955056179539,0.4269662921348315,0.5617977528089889,1,断板,6.065714285714286,5.6530000000000005,6.586,1.8930616212259332,2.19,0.39999999999999947,0.3538461538461543,0.24615384615384625,-1,1,SHSE.600327,2021-05-27 09:30,6.99,2021-05-28 11:28:00,7.34,4.944167679595962,1.49,2021-05-27
SHSE.600864,stock,2021-05-27,2021-05-27T16:00:00.000+0800,6.72,6.55,6.8,6.48,6.61,7.39,6.05,98901776.0,650936128.0,-1.64,10.1332426071167,6.58,5376203952.37,1,false,false,true,断板,断板,断板,4天2板,6.469999999999999,6.109,6.325714285714286,-2.5297619047619038,5.12,0.8812613016836482,0.18750000000000192,0.5937499999999996,0.21874999999999853,1,断板,6.2057142857142855,5.976,6.397999999999999,1.4851722679288515,0.15,0.8787878787878799,0.015151515151514845,0.10606060606060526,-1,1,SHSE.600864,2021-05-27 09:30,6.55,2021-05-28 11:28:00,6.51,-0.6703027259760929,1.49,2021-05-27
