code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_7,ema_7,ewma_volatility_8,open_pct,lowest_30,close_sma7_pct,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_ema_7,pre_volume_ratio_5,pre_pct,pre_vwap,pre_ewma_volatility_8,pre_close_sma7_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,trading_date_right
SHSE.600751,stock,2021/6/7,2021-06-07T16:00:00.000+0800,3.97,3.86,4.11,3.75,4.08,4.37,3.57,251786512,991087424,2.77,4.59275341,3.94,5321055897,1,FALSE,FALSE,TRUE,断板,断板,断板,5天4板,3.734,3.462857143,3.559929133,2.805452032,-2.770780856,1.86,17.82178218,0.977614725,0.611111111,0.083333333,0.305555556,1,炸板,3.241428571,3.386572177,1.513308708,2.32,4.07,3.311684126,22.47686205,0.083333333,0.833333333,0.083333333,1,SHSE.600751,2021/6/7 9:30,3.86,2021/6/9 9:30,3.48,-9.898636627,2,2021/6/7
SZSE.002426,stock,2021/6/7,2021-06-07T16:00:00.000+0800,3.34,3.24,3.58,3.11,3.52,3.67,3.01,348581888,1169502336,5.39,5.273509979,3.36,9287817197,1,FALSE,FALSE,TRUE,断板,断板,断板,2天2板,3.336,3.19,3.249974526,5.24495185,-2.994011976,2.07,10.34482759,1.102458147,0.595744681,0.127659574,0.276595745,1,断板,3.101428571,3.159966035,1.10081207,1.52,3.31,1.828231865,7.692307692,0.448275862,0.448275862,0.103448276,1,SZSE.002426,2021/6/7 9:30,3.24,2021/6/8 11:28,3.38,4.258413834,1.49,2021/6/7
SZSE.000925,stock,2021/6/8,2021-06-08T16:00:00.000+0800,8.68,8.45,9.09,8.35,8.8,9.55,7.81,50762228,441398624,1.38,3.473441362,8.7,3910584876,1,FALSE,FALSE,TRUE,断板,断板,断板,2天2板,8.472,8.085714286,8.194178366,1.483842805,-2.649769585,6.56,8.833922261,1.001281932,0.472972973,0.391891892,0.135135135,1,断板,7.821428571,7.992237821,1.608211819,2.6,8.68,2.619330286,10.97716895,0.12745098,0.480392157,0.392156863,1,SZSE.000925,2021/6/8 9:30,8.45,2021/6/9 11:28,8.79,3.961273157,1.49,2021/6/8
SZSE.002411,stock,2021/6/8,2021-06-08T16:00:00.000+0800,6.58,6.35,6.73,6.24,6.38,7.24,5.92,103014000,663943168,-3.04,4.163819313,6.45,3045446541,1,FALSE,FALSE,TRUE,断板,断板,断板,5天2板,6.052,5.857142857,5.93117532,3.338016575,-3.495440729,4.39,8.926829268,0.98146689,0.06122449,0.714285714,0.224489796,1,炸板,5.627142857,5.781567093,1.452011756,6.13,6.56,6.396940225,16.93323178,0.244897959,0.489795918,0.265306122,1,SZSE.002411,2021/6/8 9:30,6.35,2021/6/9 11:28,6.44,1.356490691,1.49,2021/6/8
SZSE.000995,stock,2021/6/9,2021-06-09T16:00:00.000+0800,33.87,32.3,37.26,31.69,37.26,37.26,30.48,50352744,1759910400,10.01,1.685199976,34.95,3999563255,1,TRUE,FALSE,FALSE,,涨停,8天6板,6天5板,33.226,31.40142857,31.78183011,9.74138016,-4.635370534,17.41,18.65702197,1.071978604,0.89048474,0,0.10951526,1,断板,29.39857143,29.95577348,1.142712611,-2.48,35.01,3.431213133,15.20967977,0.48411215,0.226168224,0.289719626,-1,SZSE.000995,2021/6/9 9:30,32.3,2021/6/10 11:28,34.22,5.880724947,1.49,2021/6/9
SZSE.002646,stock,2021/6/9,2021-06-09T16:00:00.000+0800,25.45,24.5,26.5,23.89,25.87,28,22.91,47142768,1194657792,1.65,1.086477876,25.34,5176784517,1,FALSE,FALSE,TRUE,断板,断板,断板,5天2板,25.784,25.11285714,24.87358055,2.722155652,-3.73280943,15.13,3.014961033,0.935738418,0.524904215,0.24137931,0.233716475,1,断板,24.46285714,24.54144074,1.076241253,-8.94,26.47,8.991645561,4.035272133,0.745508982,0.167664671,0.086826347,-1,SZSE.002646,2021/6/9 9:30,24.5,2021/6/10 11:28,24.31,-0.835027043,1.49,2021/6/9
SZSE.002759,stock,2021/6/9,2021-06-09T16:00:00.000+0800,33,32,32.83,30.4,32.2,36.3,29.7,26276844,839661504,-2.42,2.543632746,31.95,7131342501,1,FALSE,FALSE,TRUE,断板,断板,断板,6天3板,32.628,31.34571429,31.11098637,2.792547152,-3.03030303,13.99,2.725366876,0.638125955,0.082304527,0.259259259,0.658436214,1,断板,30.64428571,30.74798183,1.00125334,-6.12,33.13,6.182372248,7.687287306,0.321678322,0.361305361,0.317016317,-1,SZSE.002759,2021/6/9 9:30,32,2021/6/11 11:28,34.27,7.029513021,2.49,2021/6/9
SHSE.600663,stock,2021/6/10,2021-06-10T16:00:00.000+0800,15.03,14.61,15.78,14.36,14.66,16.53,13.53,50238884,749290944,-2.46,9.664784431,14.91,7891696801,1,FALSE,FALSE,TRUE,断板,断板,断板,4天2板,14.364,13.99571429,13.91498656,2.650001856,-2.794411178,10.46,4.746350924,0.772490265,0.035211268,0.788732394,0.176056338,1,断板,13.57285714,13.66664875,1.172284716,4.16,14.56,4.715233883,10.73571203,0.253588517,0.392344498,0.354066986,1,SHSE.600663,2021/6/10 9:30,14.61,2021/6/11 11:28,14.5,-0.812439362,1.49,2021/6/10
SZSE.002646,stock,2021/6/10,2021-06-10T16:00:00.000+0800,25.87,25.11,26,23.43,23.67,28.46,23.28,45714856,1110440192,-8.5,1.086477876,24.29,4736547720,1,FALSE,FALSE,TRUE,断板,断板,断板,5天2板,25.67,25.14428571,24.57268542,8.267986931,-2.937765752,15.13,-5.863303221,0.916109654,0.560311284,0.346303502,0.093385214,-1,断板,25.11285714,24.87358055,0.935738418,1.65,25.34,2.722155652,3.014961033,0.524904215,0.24137931,0.233716475,1,SZSE.002646,2021/6/10 9:30,25.11,2021/6/11 11:28,23.11,-8.020158668,1.49,2021/6/10
SHSE.600171,stock,2021/6/11,2021-06-11T16:00:00.000+0800,24.83,24.2,24.3,22.41,23.22,27.31,22.35,91380216,2131769856,-6.48,2.706197023,23.33,12107128915,1,FALSE,FALSE,TRUE,断板,断板,断板,4天3板,23.784,22.48428571,22.55156136,6.331156124,-2.537253323,16.03,3.272126565,0.902585684,0.518518519,0.052910053,0.428571429,-1,断板,21.59142857,22.32874848,1.157271916,3.23,24.35,3.19520961,15.60142914,0.356557377,0.331967213,0.31147541,1,SHSE.600171,2021/6/11 9:30,24.2,2021/6/15 11:28,23.25,-3.983247175,1.49,2021/6/11
