code,name,trading_date,open,high,low,close,pre_close,volume,amount,limit_up,limit_down,is_st,is_suspended,adj_factor,turnover_rate,total_mv,mv_A_free_float,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,relative_position,open_pct,continue_limit_count,prev_is_limit_up,prev_limit_desc,prev_continue_limit_count,prev_relative_position,signal,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason,trading_date_right,weight_profit
SHSE.601096,宏盛华源,2023-12-26,5.7,6.16,5.51,5.91,5.88,279341080.0,1647539586.91,0.0,0.0,False,False,1.0,43.0603,15810166570.08,3833935856.01,True,False,False,,涨停,3天3板,2天2板,0.6153846153846156,-3.0612244897959133,0,True,2天2板,0,0.1734693877551019,1,SHSE.601096,2023-12-26 09:30:00,5.7,2023-12-29 11:30:00,5.7,-0.7968127490039895,3.5,未涨停卖出,2023-12-26,-0.3187250996015958
SHSE.603202,天有为,2025-04-25,112.0,116.8,107.6,107.9,116.0,12956704.0,1438012344.5,0.0,0.0,False,False,1.0,39.8133,17264000000.0,3511460050.8,True,False,False,,涨停,2天2板,1天1板,0.03260869565217514,-3.4482758620689653,0,True,1天1板,0,0.07300115874855158,1,SHSE.603202,2025-04-25 09:30:00,112.0,2025-04-29 15:00:00,101.81,-9.822531303358002,3.0,止损卖出,2025-04-25,-3.929012521343201
SZSE.001390,古麒绒材,2025-06-03,26.0,26.88,25.44,25.65,27.02,20878709.0,540981897.09,0.0,0.0,False,False,1.0,42.6106,5130000000.0,1256820425.55,True,False,False,,涨停,3天3板,2天2板,0.14583333333333168,-3.7749814951887477,0,True,2天2板,0,0.00444444444444435,1,SZSE.001390,2025-06-03 09:30:00,26.0,2025-06-05 15:00:00,23.61,-9.91587496169169,3.0,止损卖出,2025-06-03,-3.9663499846766763
SHSE.603381,永臻股份,2024-06-28,28.75,29.5,27.85,28.0,29.7,21250494.0,609255102.45,0.0,0.0,False,False,1.0,40.622,6643177128.0,1464756916.0,True,False,False,,涨停,3天3板,2天2板,0.09090909090909012,-3.1986531986531967,0,True,2天2板,0,0.019169329073482004,1,SHSE.603381,2024-06-28 09:30:00,28.75,2024-07-03 11:30:00,26.5,-8.560540446908021,3.5,未涨停卖出,2024-06-28,-3.4242161787632086
SHSE.603120,肯特催化,2025-04-23,38.01,38.38,37.05,37.4,39.43,9360614.0,351271343.86,43.37,35.49,False,False,1.0,42.2719,3380960000.0,828178942.8,False,False,True,断板,断板,断板,5天5板,0.2631578947368421,-3.6013187927973664,0,True,5天5板,0,0.5418060200668897,1,SHSE.603120,2025-04-23 09:30:00,38.01,2025-04-24 11:30:00,36.1,-5.781766383558095,1.5,未涨停卖出,2025-04-23,-2.312706553423238
SHSE.603334,丰倍生物,2025-11-07,55.12,58.0,53.0,54.42,57.13,14067953.0,773376782.38,0.0,0.0,False,False,1.0,45.3021,7809270000.0,1689938435.76,True,False,False,,涨停,3天3板,2天2板,0.28400000000000036,-3.5182916156135216,0,True,2天2板,0,0.00995024875621928,1,SHSE.603334,2025-11-07 09:30:00,55.12,2025-11-12 11:30:00,52.54,-5.44021302308907,3.5,未涨停卖出,2025-11-07,-2.176085209235628
SHSE.603231,索宝蛋白,2023-12-19,23.78,28.05,23.51,27.19,24.61,24069764.0,611381905.01,0.0,0.0,False,False,1.0,51.3154,5205773064.95,1275360490.62,True,False,False,,涨停,3天3板,2天2板,0.8105726872246697,-3.3726127590410333,0,True,2天2板,0,0.004716981132074539,1,SHSE.603231,2023-12-19 09:30:00,23.78,2023-12-22 11:30:00,26.68,11.301136915751618,3.5,未涨停卖出,2023-12-19,4.520454766300648
SZSE.001359,平安电工,2024-04-02,27.22,27.68,26.58,26.81,28.31,19033426.0,515442632.3,0.0,0.0,False,False,1.0,41.8791,4973339853.65,1218473882.85,True,False,False,,涨停,4天4板,3天3板,0.20909090909090922,-3.8502296008477566,0,True,3天3板,0,0.19620253164556903,1,SZSE.001359,2024-04-02 09:30:00,27.22,2024-04-08 11:30:00,25.69,-6.3728919736191045,2.5,未涨停卖出,2024-04-02,-2.549156789447642
SZSE.001325,元创股份,2025-12-22,55.5,56.58,54.04,54.19,57.49,8450585.0,464923058.05,0.0,0.0,False,False,1.0,43.1152,4248496000.0,1062124000.0,True,False,False,,涨停,3天3板,2天2板,0.05905511811023568,-3.461471560271355,0,True,2天2板,0,0.008869179600886732,1,SZSE.001325,2025-12-22 09:30:00,55.5,2025-12-25 11:30:00,51.85,-7.320986324970388,3.5,未涨停卖出,2025-12-22,-2.9283945299881555
SHSE.603271,永杰新材,2025-03-13,43.85,44.56,42.5,42.56,45.6,15555210.0,673804713.64,0.0,0.0,False,False,1.0,40.3294,8372403200.0,1641554989.76,True,False,False,,涨停,3天3板,2天2板,0.029126213592234083,-3.8377192982456143,0,True,2天2板,0,0.46078431372549034,1,SHSE.603271,2025-03-13 09:30:00,43.85,2025-03-18 11:30:00,41.57,-5.9549260199793865,3.5,未涨停卖出,2025-03-13,-2.3819704079917545
SHSE.603004,鼎龙科技,2023-12-28,29.0,32.18,27.55,30.9,30.08,34571735.0,1015781814.41,0.0,0.0,False,False,1.0,59.9168,7277568000.0,1782917856.3,True,False,False,,涨停,2天2板,1天1板,0.7235421166306693,-3.5904255319148883,0,True,1天1板,0,0.008264462809917179,1,SHSE.603004,2023-12-28 09:30:00,29.0,2024-01-09 11:30:00,30.87,5.600082428905072,7.5,未涨停卖出,2023-12-28,2.240032971562029
SHSE.601112,振石股份,2026-02-02,21.0,22.5,20.5,21.53,21.68,50397174.0,1077517119.45,0.0,0.0,False,False,1.0,28.4328,37470087881.51,3816190476.18,True,False,False,,涨停,3天3板,2天2板,0.5150000000000006,-3.1365313653136515,0,True,2天2板,0,0.13461538461538505,1,SHSE.601112,2026-02-02 09:30:00,21.0,2026-02-05 11:30:00,19.84,-6.276607854297102,3.5,未涨停卖出,2026-02-02,-2.510643141718841
SHSE.603352,至信股份,2026-01-19,53.49,54.31,51.0,52.04,55.68,16792163.0,875507222.14,0.0,0.0,False,False,1.0,37.8011,11795733350.68,2311740238.88,True,False,False,,涨停,3天3板,2天2板,0.3141993957703923,-3.9331896551724097,0,True,2天2板,0,0.019189765458422155,1,SHSE.603352,2026-01-19 09:30:00,53.49,2026-01-22 11:30:00,46.8,-13.20416594977354,3.5,止损卖出,2026-01-19,-5.281666379909416
SZSE.001257,盛龙股份,2026-04-07,21.49,24.41,21.49,23.17,22.26,58565120.0,1353713078.44,0.0,0.0,False,False,1.0,42.7645,42538980429.89,3173084881.96,True,False,False,,涨停,5天5板,4天4板,0.5753424657534254,-3.45911949685536,0,True,4天4板,0,0.008264462809918641,1,SZSE.001257,2026-04-07 09:30:00,21.49,2026-04-08 11:30:00,24.27,12.036358984721883,1.5,未涨停卖出,2026-04-07,4.814543593888754
