code,name,trading_date,open,high,low,close,pre_close,pct,volume,amount,limit_up,limit_down,is_st,is_suspended,adj_factor,turnover_rate,total_mv,circulation_mv,mv_A_free_float,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,avg_limit_turnover_5,sma_5,sma_7,open_pct,close_sma7_pct,vwap,touch_limit_down,lowest_30,trend_rsq_20,trend_slope_20,trend_rsq_60,trend_slope_60,trend_rsq_120,trend_slope_120,trend_slope,trend_rsq,stability_ewmvol_60,stability_maxdd_60,stability_up_ratio_60,trend_strength,trend_stability,trend_composite,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,pre_trend_composite,pre_trend_rsq_60,pre_trend_strength,pre_trend_stability,pre_trend_slope,pre_amount,open_pre_vwap_pct,open_prev_sma7_pct,signal,code_right,trading_date_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason
SZSE.000541,佛山照明,2023-10-30,8.0,8.15,7.78,7.88,8.23,-0.04252733900364525,102718933.0,816088653.67,9.05,7.41,false,false,31.3383,9.722558534134915,83.3957270292,8325228274.0,40.6012759772,false,false,true,断板,断板,断板,4天2板,9.898097876949578,7.917999999999999,7.635714285714286,-2.7946537059538326,3.199251637043959,794.4870822110272,false,5.43,0.9086532865725447,0.022195367821027448,0.5032379560426031,0.0054556842532775185,0.3287875577168175,0.001749582187616666,0.0076917903471292485,0.5319859026508558,32.637525075016605,2.2907267645683143,0.5,0.9915187376725838,0.3492654401808263,0.670392088926705,断板,7.507142857142857,-0.01318944844124692,857.7377310796717,9.628924833491919,0.6588313891283754,0.47053470626687666,0.9913197869402249,0.32634299131652583,0.007466711860888955,1486655489.61,-6.731396904621967,6.565176022835395,1,SZSE.000541,2023-10-30,2023-10-30T09:30:00.000000,8.0,2023-10-31T11:30:00.000000,7.56,-6.252988047808772,1.5,未涨停卖出
SZSE.002122,ST汇洲,2023-10-27,4.13,4.28,3.96,4.14,4.24,-0.02358490566037752,199749949.0,818711070.53,4.66,3.82,false,false,8.47526,10.065046489345505,82.55183287499999,8216204363.639999,50.751372384,false,false,true,断板,断板,断板,2天1板,12.689630961587776,4.108,3.9614285714285713,-2.5943396226415167,4.507753335737464,409.8679747497708,false,3.05,0.6245640649817765,0.013795339651280582,0.000027264372706489733,0.000023588451647591293,0.5824310576762393,-0.0030935396590740837,0.0018428002583576871,0.29965576248558035,29.846482940521486,3.019867458472877,0.43333333333333335,0.9291773525350168,0.0,0.4645886762675084,断板,3.8785714285714286,-0.038548752834467126,434.89620701781996,9.318600368324132,0.557178363877298,0.007227058388097313,0.9177352535016768,0.1966214742529193,0.0015689009609687454,1125038547.21,-5.034812137812638,6.482504604051553,1,SZSE.002122,2023-10-27,2023-10-27T09:30:00.000000,4.13,2023-10-30T11:30:00.000000,4.07,-2.238021280495423,1.5,未涨停卖出
SHSE.603629,利通电子,2023-11-01,32.0,35.49,31.52,33.7,33.23,0.01414384592235951,39179373.0,1311130111.0,36.55,29.91,false,false,2.02131,15.376520015698587,85.86760000000001,8586760000.000001,41.910180698000005,false,false,true,断板,断板,断板,2天2板,6.599562990580848,33.584,32.53000000000001,-3.7014745711706194,3.596679987703641,3346.4805855877275,false,21.8,0.7609349077231858,0.01831023115172946,0.6159873520464332,0.006448839293566347,0.215535320595667,0.0021317527154732043,0.007525991691771027,0.5248412537465539,21.101658121480156,1.9670846008042135,0.5666666666666667,0.9905362776025236,0.3293678279441384,0.659952052773331,断板,31.50142857142858,-0.09994582881906833,3433.9253269945852,5.487279488458535,0.6557097095031166,0.6149578457989672,0.9905344113587063,0.3208850076475269,0.007558533420825533,1370143142.0,-6.812184445470148,1.5826946623735516,1,SHSE.603629,2023-11-01,2023-11-01T09:30:00.000000,32.0,2023-11-02T11:30:00.000000,33.73,4.566359561752973,1.5,未涨停卖出
SZSE.002176,江特电机,2023-10-25,12.0,12.92,11.76,12.22,12.42,-0.01610305958132041,255888135.0,3178992950.78,13.66,11.18,false,false,12.9628,14.999136445784117,208.5129859982,20847553597.52,167.68279148660002,false,false,false,,未涨停,未涨停,2天2板,18.5297407007484,12.556000000000001,12.155714285714286,-3.3816425120772946,0.52885180397227,1242.336988692344,false,8.52,0.846704280339958,0.02473105616459276,0.019371638892177318,-0.0009931632771096593,0.4932186132697506,-0.00253515957820175,0.0036890817209031977,0.32699225949500543,31.933906263073847,2.448979531861726,0.4,0.9704142011834319,0.20161457719418185,0.5860143891888069,断板,11.998571428571427,-0.04166666666666674,1279.9052033054013,3.5123228955828174,0.589169326263092,0.05073098910750402,0.9646942800788955,0.21364437244728868,0.0032036263001777743,3865403665.72,-6.243056368475042,0.011906179307064058,1,SZSE.002176,2023-10-25,2023-10-25T09:30:00.000000,12.0,2023-10-26T11:30:00.000000,11.91,-1.5408366533864544,1.5,未涨停卖出
SZSE.000903,ST云动,2023-12-07,3.65,3.74,3.45,3.45,3.83,-0.09921671018276756,416487963.0,1470529572.8,4.21,3.45,false,false,11.6396,21.68912572064242,67.9795195665,6624902685.6,43.8191142975,false,false,true,断板,断板,断板,2天2板,12.927531894341096,3.4,3.338571428571428,-4.69973890339426,3.3376123234916766,353.0785288985651,true,2.42,0.7795191874535797,0.01995795469081684,0.302672989221952,0.003322416745317881,0.19748234682995636,0.0012739801198397335,0.00603499334677423,0.36648503615067884,27.544405431929334,2.5723683548818403,0.43333333333333335,0.9819004524886877,0.2621252151914334,0.6220128338400606,炸板,3.301428571428571,0.07887323943661984,386.0203697008902,16.01038511466899,0.6077340085485708,0.24982096287438926,0.9789494393074956,0.23651857778964613,0.005608938864157941,1896289332.25,-5.445404271587528,10.55819991345739,1,SZSE.000903,2023-12-07,2023-12-07T09:30:00.000000,3.65,2023-12-08T11:30:00.000000,3.17,-13.84271134639523,1.5,止损卖出
SZSE.002239,奥特佳,2023-11-23,3.6,3.7,3.38,3.39,3.74,-0.0935828877005348,468510582.0,1645722023.02,4.11,3.37,false,false,9.10289,14.44614426755544,109.9464510816,10994289158.16,74.0498085087,false,false,true,断板,断板,断板,4天4板,6.301644215540627,3.658,3.447142857142857,-3.7433155080213933,-1.6576875259013617,351.266777368115,true,2.51,0.5678373243019992,0.018236010391075426,0.46104346797166956,0.004627971927352753,0.14023398022432637,0.000958427129822408,0.006248716180838184,0.3861593929135325,26.3445568384036,2.26842100117424,0.4666666666666667,0.9759747932256794,0.26251063586445894,0.6192427145450692,断板,3.3557142857142854,-0.08333333333333326,389.1171621255545,11.451681566624112,0.6044516357508691,0.4316702826841239,0.9734147302087436,0.2354885412929948,0.00593283961117794,3238026316.39,-7.4828778989088685,7.279693486590055,1,SZSE.002239,2023-11-23,2023-11-23T09:30:00.000000,3.6,2023-11-24T11:30:00.000000,3.36,-7.410358565737065,1.5,未涨停卖出
SZSE.002400,省广集团,2023-11-23,6.9,7.0,6.45,6.5,7.11,-0.0857946554149086,377882722.0,2511461395.21,7.82,6.4,false,false,18.6887,22.570994833203923,113.31691332,10882274845.0,87.116965455,false,false,true,断板,断板,断板,4天3板,21.313000486587754,6.872,6.558571428571429,-2.953586497890295,-0.893051622740146,664.6139791514469,true,4.73,0.7858884598705214,0.018864159531518553,0.04722223954903629,0.0012063665286144293,0.025156196207948445,0.0004938433161736042,0.004524168165463006,0.18833567061100695,30.063882499651548,2.5015872390079132,0.45,0.9523434423001181,0.0,0.47617172115005907,断板,6.420000000000001,-0.03658536585365846,731.9740222982061,10.74766355140186,0.4734147302087436,0.019857976842871883,0.9468294604174872,0.0,0.0043691756063189875,3988617541.67,-5.734359556425062,7.476635514018692,1,SZSE.002400,2023-11-23,2023-11-23T09:30:00.000000,6.9,2023-11-24T11:30:00.000000,6.3,-9.423176857786249,1.5,未涨停卖出
SZSE.000903,ST云动,2023-12-08,3.31,3.37,3.13,3.15,3.45,-0.08695652173913049,282249779.0,910537902.67,3.8,3.11,false,false,11.6396,14.698506283972817,62.0682569955,6048824191.2,40.0087565325,false,false,false,,未涨停,未涨停,2天2板,12.927531894341096,3.442,3.34,-4.0579710144927565,-5.688622754491016,322.60004096229954,true,2.42,0.7436344606906433,0.018992028463739045,0.33675506492579627,0.0035738705886198753,0.20646925941804328,0.001316310826416688,0.005980234234982753,0.3790452024264398,26.319811970310127,2.5723683548818403,0.43333333333333335,0.982690794649882,0.26903999350889224,0.6258653940793871,断板,3.338571428571428,-0.09921671018276756,353.0785288985651,3.3376123234916766,0.6220128338400606,0.302672989221952,0.9819004524886877,0.2621252151914334,0.00603499334677423,1470529572.8,-6.253149679602288,-0.855798031664512,1,SZSE.000903,2023-12-08,2023-12-08T09:30:00.000000,3.31,2023-12-11T11:30:00.000000,3.2,-4.093595406892063,1.5,未涨停卖出
SHSE.600392,盛和资源,2024-02-19,9.01,9.38,8.97,9.06,9.43,-0.03923647932131491,58631760.0,536145585.0,10.37,8.49,false,false,10.0087,3.3449835256662044,158.80608724200002,15880608724.2,110.462100741,false,false,true,断板,断板,断板,2天2板,1.5769380424213904,8.518000000000004,8.329999999999998,-4.453870625662778,8.763505402160893,914.4286049062829,false,6.92,0.16081681296310876,-0.004569021443262299,0.7900376156393073,-0.0043792999966461126,0.8146677975036525,-0.002386682477221498,-0.0038194590301419656,0.6715825096633711,33.77732478250357,2.6796115786822527,0.3333333333333333,0.7311006658832746,0.5564996208459476,0.6438001433646111,炸板,8.21285714285714,0.07037457434733252,954.8801585438621,14.819968690207016,0.6457411942498958,0.8062420573552375,0.7038777908343126,0.5876045976654791,-0.004325690702737645,932572487.0,-5.642609500445195,9.706035832318683,1,SHSE.600392,2024-02-19,2024-02-19T09:30:00.000000,9.01,2024-02-20T11:30:00.000000,8.83,-2.7786744254944744,1.5,未涨停卖出
SHSE.601212,白银有色,2024-04-11,3.4,3.6,3.31,3.49,3.56,-0.0196629213483146,413780219.0,1417909696.0,3.92,3.2,false,false,1.00772,5.588019167704808,258.4266304339,25842663043.390003,61.50542040870001,false,false,false,,未涨停,未涨停,2天2板,4.234402553841655,3.526,3.3642857142857143,-4.494382022471914,3.736730360934188,342.67217979310897,false,2.55,0.671044738762293,0.01544999622802661,0.5015016288524028,0.004315811805390123,0.04608028261927597,0.00046923029317318034,0.0053886742362523376,0.3987838469644428,35.81481794124017,2.3292682384280208,0.45,0.979663668361361,0.5573751529950143,0.7685194106781876,断板,3.275714285714286,-0.035230352303523005,356.4097119212475,8.678587003924989,0.7497276348242874,0.46078885517616797,0.9741834539409349,0.5252718157076399,0.004970851123380076,1577999327.0,-4.604170810270569,3.794156127344084,1,SHSE.601212,2024-04-11,2024-04-11T09:30:00.000000,3.4,2024-04-12T11:30:00.000000,3.54,3.288024373095854,1.5,未涨停卖出
SZSE.002362,汉王科技,2023-12-15,26.39,26.94,25.76,25.98,27.5,-0.05527272727272725,44308447.0,1162112079.39,30.25,24.75,false,false,2.0,21.4016044066651,63.5093170308,5378725030.08,41.8197287934,false,false,true,断板,断板,断板,2天2板,31.18307163500889,26.907999999999998,26.041428571428572,-4.036363636363634,-0.23588787097482017,2622.777727664434,false,21.6,0.48999128866523056,0.009771933994724296,0.14439856264176343,0.0014455825308996352,0.10603213356541728,-0.0005869599243693973,0.0025010900870838576,0.202007179123553,29.893635719942626,3.355605776413818,0.5166666666666667,0.9080007863180657,0.0,0.45400039315903284,断板,25.587142857142855,-0.07188660141748227,2779.0490897472755,7.475852827871152,0.4467164766024381,0.12259162379045735,0.8934329532048761,0.0,0.0022124920297466417,1854182719.88,-5.03946080923714,3.137736586455264,1,SZSE.002362,2023-12-15,2023-12-15T09:30:00.000000,26.39,2023-12-18T11:30:00.000000,26.89,1.0827474490065505,1.5,未涨停卖出
SHSE.600200,退市苏吴,2024-01-29,9.37,9.73,8.99,9.43,9.77,-0.03480040941658136,91589433.0,857862507.0,10.75,8.79,false,false,11.0505,12.90795345112592,67.1685539576,6691133156.47,55.3316912081,false,false,true,断板,断板,断板,3天3板,6.677658822227374,9.779999999999998,9.391428571428573,-4.094165813715459,0.4107088530574769,936.6391721193427,false,7.92,0.22790040312415796,0.004946943741422734,0.021053861846554948,-0.0005139751725626059,0.506487878067055,0.0020429791802698705,0.0013452949160842052,0.20805337496822557,30.131635610451266,3.2956520652998154,0.4166666666666667,0.9558996471971776,0.0,0.4779498235985888,断板,9.341428571428574,-0.10036832412523022,1031.0772525336502,4.587857470561211,0.4797138377107017,0.031079655220744427,0.9594276754214034,0.0,0.0015013362676731842,1330795191.0,-9.124171084414446,0.30585716470403757,1,SHSE.600200,2024-01-29,2024-01-29T09:30:00.000000,9.37,2024-01-30T11:30:00.000000,9.4,-0.4791931526827419,1.5,未涨停卖出
SZSE.002445,中南文化,2023-12-19,2.72,2.78,2.57,2.58,2.86,-0.0979020979020978,408063298.0,1081414292.35,3.15,2.57,false,false,7.2071,17.135167204091857,61.70504293980001,6144108757.74,37.9271575686,false,false,true,断板,断板,断板,2天2板,5.019269195577122,2.723999999999999,2.6657142857142846,-4.895104895104884,-3.215434083601243,265.0114081933435,true,2.22,0.6371247422398741,0.012056108945087818,0.2908355198323407,0.0021548641591710915,0.043856374877129276,-0.0003276617365582533,0.0033903553476356337,0.2859996208272839,34.098179955722344,2.6319999307257618,0.4,0.9461477987421384,0.0,0.4730738993710692,炸板,2.6342857142857135,-0.0434782608695653,309.4571971309049,8.568329718004367,0.4695361635220126,0.23820512130265864,0.9390723270440252,0.0,0.0032149914390659632,1951674602.79,-12.104160923767415,3.2537960954447165,1,SZSE.002445,2023-12-19,2023-12-19T09:30:00.000000,2.72,2023-12-20T11:30:00.000000,2.49,-9.18531755331614,1.5,未涨停卖出
SZSE.000957,中通客车,2024-05-16,11.23,11.8,10.93,11.08,11.75,-0.05702127659574463,95535651.0,1073194530.26,12.93,10.58,false,false,5.11317,16.113175372814524,65.6937561088,6569375610.88,43.46795420480001,false,false,true,断板,断板,断板,2天2板,9.829297793698572,10.796000000000003,10.358571428571427,-4.425531914893614,6.964556612881001,1123.3445515119795,false,7.91,0.6758483679090781,0.013981908967279447,0.5753754238568523,0.004462782515689209,0.03656099031314967,-0.0006416339081388579,0.004835282878858837,0.43382568260418664,23.494566679483494,1.9935587364247063,0.55,0.9450527962456003,0.35308088522855374,0.649066840737077,断板,10.108571428571427,0.03160667251975413,1181.921321027339,16.237987563595272,0.646510641140337,0.5735062656086996,0.9329292139225656,0.3600920683581083,0.004558056709870461,1792003293.78,-4.985215172878332,11.093838326738293,1,SZSE.000957,2024-05-16,2024-05-16T09:30:00.000000,11.23,2024-05-17T11:30:00.000000,10.41,-8.040500509094532,1.5,未涨停卖出
SZSE.000888,峨眉山A,2024-04-16,14.2,15.21,13.28,13.34,14.75,-0.0955932203389831,123116339.0,1712721866.6,16.23,13.28,false,false,6.25234,23.365586950236818,70.2902078068,7029020780.68,42.4567655072,false,false,true,断板,断板,断板,4天3板,15.325300135226726,13.663999999999998,12.940000000000001,-3.728813559322039,3.0911901081916424,1391.1409976217697,true,8.86,0.6501613769381593,0.01955069034819342,0.32957656088075543,0.004354168961793894,0.2500930619916997,0.001545409537203706,0.006550845411696743,0.3698484744255195,25.922243789955917,1.8645832985666237,0.6166666666666667,0.9882697947214076,0.40051702843244685,0.6943934115769272,断板,12.525714285714287,0.002719238613188235,1522.111113702772,17.757755474452548,0.6748990127710605,0.2831647736327497,0.9837732160312805,0.3660248095108403,0.0059190981380520934,2161957400.83,-6.708519028835602,13.366788321167867,1,SZSE.000888,2024-04-16,2024-04-16T09:30:00.000000,14.2,2024-04-17T11:30:00.000000,13.69,-4.359744122103122,1.5,未涨停卖出
SZSE.002306,ST云网,2024-01-03,5.2,5.77,4.96,5.7,5.38,0.059479553903345694,218373506.0,1167507858.75,5.92,4.84,false,false,4.18338,26.850627600811546,49.5764625,4635753780.900001,38.133667299,false,false,true,断板,断板,断板,9天6板,9.775475202481973,5.406000000000001,5.135714285714286,-3.345724907063192,10.987482614742692,534.6380520858606,false,3.86,0.7510008932268226,0.020911917133322643,0.5597624938188486,0.005102659361355628,0.09210970521293979,0.00076608143077864,0.006963537536575935,0.4577143371186707,26.04044194529232,2.140468181608708,0.5166666666666667,0.9895996860282574,0.3400938777059917,0.6648467818671245,断板,5.022857142857143,-0.07718696397941682,585.2962926788222,7.110352673492597,0.653738271808777,0.5465628599098352,0.9858684985279687,0.3216080450895854,0.006137999543537921,1508846480.35,-11.156109050335827,3.526734926052333,1,SZSE.002306,2024-01-03,2024-01-03T09:30:00.000000,5.2,2024-01-04T11:30:00.000000,5.48,4.544897333741965,1.5,未涨停卖出
SHSE.600705,中航产融,2024-01-30,3.33,3.54,3.31,3.36,3.42,-0.01754385964912286,251255936.0,854385531.0,3.76,3.08,false,false,23.5157,2.8537461647496127,296.51644733759997,29582867438.879997,137.2865588976,false,false,false,,未涨停,未涨停,2天2板,3.073799818082904,3.372,3.217142857142857,-2.6315789473684172,4.440497335701597,340.0459088059118,false,2.75,0.22806253071250032,0.005090585344130424,0.4742126214750565,-0.002285797923675089,0.8086824354928224,-0.0021723533359011473,-0.000776487893781804,0.525323547527875,44.77221338237713,3.8645831839832963,0.31666666666666665,0.8592984518910445,0.4050620622124302,0.6321802570517373,断板,3.1557142857142857,-0.011560693641618491,352.68933113301284,8.374830239927569,0.6157133386430136,0.546882263923262,0.8136025088200706,0.41782416846595666,-0.001208046986343967,1385035808.0,-5.582627370598647,5.5228610230873665,1,SHSE.600705,2024-01-30,2024-01-30T09:30:00.000000,3.33,2024-01-31T11:30:00.000000,3.45,2.778076881662531,1.5,未涨停卖出
