trading_date,factor_group,mean,count
2024-09-12,G4,0.002522079372791209,1014
2024-09-12,G5,-0.00027455873705562497,1014
2024-09-13,G1,0.04655420745580063,1014
2024-09-13,G2,0.047447914278271386,1014
2024-09-13,G3,0.05385122406499752,1013
2024-09-13,G4,0.05342945309897788,1014
2024-09-13,G5,0.04795317305695961,1014
2024-09-18,G1,0.06601640615517446,1013
2024-09-18,G2,0.0671090272101696,1013
2024-09-18,G3,0.07177472896438311,1013
2024-09-18,G4,0.07198544443715847,1013
2024-09-18,G5,0.07415785746427361,1013
2024-09-19,G1,0.0742017128099092,1015
2024-09-19,G2,0.0788441101750126,1014
2024-09-19,G3,0.08439571730145949,1014
2024-09-19,G4,0.09021566650944253,1014
2024-09-19,G5,0.08336005782006498,1015
2024-09-20,G1,0.13335611495300645,1015
2024-09-20,G2,0.13542815771834077,1014
2024-09-20,G3,0.14447503663416666,1014
2024-09-20,G4,0.14654046084556352,1014
2024-09-20,G5,0.13891446960503123,1014
2024-09-23,G1,0.26642072892799773,1015
2024-09-23,G2,0.25957411520711027,1014
2024-09-23,G3,0.26593435866453285,1014
2024-09-23,G4,0.26795476341078467,1014
2024-09-23,G5,0.25751447777171765,1015
2024-09-24,G1,0.35140001581753366,1015
2024-09-24,G2,0.32438440941597196,1014
2024-09-24,G3,0.3108335635407366,1015
2024-09-24,G4,0.3124729164876214,1014
2024-09-24,G5,0.31548652017573253,1015
2024-09-25,G1,0.20417584797303615,1015
2024-09-25,G2,0.1944636294530322,1015
2024-09-25,G3,0.17850970771896413,1015
2024-09-25,G4,0.1774787365676258,1015
2024-09-25,G5,0.19263284018745755,1015
2024-09-26,G1,0.17441113811382788,1015
2024-09-26,G2,0.15800761581449246,1015
2024-09-26,G3,0.1404174206743426,1015
2024-09-26,G4,0.1347335620098343,1015
2024-09-26,G5,0.13699017154319293,1015
2024-09-27,G1,0.06336032540474033,1015
2024-09-27,G2,0.056386315551590696,1015
2024-09-27,G3,0.042241643233650615,1015
2024-09-27,G4,0.048132733365770015,1015
2024-09-27,G5,0.04346492205695562,1015
2024-09-30,G1,-0.01129959834415365,1015
2024-09-30,G2,-0.01889239432855384,1014
2024-09-30,G3,-0.03039625467790029,1014
2024-09-30,G4,-0.03033446850136616,1014
2024-09-30,G5,-0.030112531259009326,1015
2024-10-08,G1,-0.10622072755187721,1014
2024-10-08,G2,-0.10900909136300634,1013
2024-10-08,G3,-0.11277329247796855,1014
2024-10-08,G4,-0.1151660010476088,1013
2024-10-08,G5,-0.11189731991930982,1014
2024-10-09,G1,-0.005765587889427175,1014
2024-10-09,G2,-0.01872186166832325,1013
2024-10-09,G3,-0.021202376951994437,1014
2024-10-09,G4,-0.027987286836061373,1013
2024-10-09,G5,-0.022124387345597785,1014
2024-10-10,G1,-0.010673596639246939,1015
2024-10-10,G2,-0.02400117842810225,1014
2024-10-10,G3,-0.02984391922303049,1014
2024-10-10,G4,-0.035890409970064166,1014
2024-10-10,G5,-0.02591617965875345,1014
2024-10-11,G1,0.0674802602561056,1014
2024-10-11,G2,0.04979443594413492,1014
2024-10-11,G3,0.0441967984726505,1014
2024-10-11,G4,0.038972632893914214,1014
2024-10-11,G5,0.03821493566164314,1014
