rule,n,all_final,all_ann,all_mdd,all_sharpe,all_win,all_pl,all_mean,train_n,train_ann,train_mdd,train_sharpe,test_n,test_ann,test_mdd,test_sharpe,test_final,score
"mv_A_free_float in [25,97.91] AND pre_close_sma7_pct in [3.427,19.12]",1358,0.6775509415950928,-0.15410009013367865,-0.43542615204686475,-0.27349327012490826,0.4116347569955817,1.4227215930890493,-0.006225453077566966,1220,-0.11551211542536755,-0.3621055424640095,-0.13498090677123042,137,-0.3069281506282805,-0.2759753415976184,-1.0307686633882582,0.88378058059609,-0.5573705331647552
"avg_limit_turnover_5 in [4.7,11.76] AND limit_days in [3,5]",455,0.6705994237185621,-0.1616820260487023,-0.6711226188139442,-0.4856576552479041,0.4,1.434108725693045,-0.060621057152486335,402,-0.17223207095943682,-0.6525736085346179,-0.5340810598419348,52,-0.2346465092296095,-0.2793948097098322,-1.235977838669972,0.9279936748049042,-0.5575914806138249
"pre_close_sma7_pct in [10.15,19.12] AND turnover_rate in [7.221,22.44]",557,0.6907658937474173,-0.1498136051754695,-0.5062908676882543,-0.3246485630046492,0.4111310592459605,1.3547344766277134,-0.07817350978914805,473,-0.1124345292684018,-0.5062908676882543,-0.17186078275590486,83,-0.3081581942756272,-0.25660587959833236,-1.1239407889688864,0.8931125592644154,-0.557608111309924
"open_pct in [-3.511,-2.5] AND pre_close_sma7_pct in [5.544,13.62]",608,0.8956518688908718,-0.04627357072798244,-0.5368468333046639,0.04105738625064777,0.4342105263157895,1.4384850322740774,0.12149380838768917,522,0.028104570725411948,-0.5368468333046639,0.3149616581320586,83,-0.4234435242071427,-0.3129893379920926,-1.959029764874884,0.8306287922724079,-0.5576744305903535
"pre_close_sma7_pct in [0.01286,11.83] AND turnover_rate in [0,10.9]",604,0.2994536599814042,-0.4074522936198248,-0.7511293967865864,-2.210884991156706,0.38079470198675497,1.2737167420668942,-0.23924527950410468,527,-0.4706108544791193,-0.7511293967865864,-2.6133666859311555,77,0.16768112682527736,-0.09593670014918576,1.0612412910364366,1.050054289553667,-0.5577696487202164
"open_pct in [-4.645,-2.5] AND turnover_rate in [9.015,15.85]",629,0.7186718841260467,-0.13327563172023782,-0.6378924004364308,-0.22616335927041883,0.41971383147853736,1.3289077038105945,-0.05217113315570234,554,-0.11532378495098794,-0.6378924004364308,-0.14108778319806436,74,-0.3547944492888375,-0.20019789363796947,-1.8184614427220347,0.8741903151569417,-0.5577879604374
"avg_limit_turnover_5 in [6.449,9.603] AND limit_days in [3,5]",236,1.023653667994646,0.010473345762668007,-0.509715913085168,0.35503953235554464,0.3940677966101695,1.4773794273878933,-0.05553351463329947,207,0.09600010128577452,-0.4995992488437945,0.7073932156354461,28,-0.5353365081881977,-0.28296671432283493,-6.43995178244202,0.8157196611852199,-0.557811908235619
"mv_A_free_float in [45.25,76.14] AND price_lowest_30 in [1.396,1.623]",218,0.8515704211715187,-0.07207387475131422,-0.3811471182231734,-0.2162393804728648,0.42201834862385323,1.3080042524536537,-0.06665275084670749,191,0.00829091869857268,-0.3296886412815144,0.2344946654518062,26,-0.42309357977435547,-0.1912735673887901,-4.23071662423769,0.8588056860591592,-0.5578327802140371
"mv_A_free_float in [31,97.91] AND pre_close_sma7_pct in [7.04,10.15]",299,0.5704696136700091,-0.21620376494813354,-0.5182681805869058,-1.1498021208283429,0.40468227424749165,1.1260409443209158,-0.3244852031033303,266,-0.23509744204294425,-0.43370877990908296,-1.2555120409007974,33,-0.0991848635661926,-0.22231316050576033,-0.7799189536112914,0.9679020647653289,-0.5578505890062135
"mv_A_free_float in [25,62.52] AND pre_close_sma7_pct in [8.534,15.9]",477,0.8559068982801854,-0.06575260647367376,-0.46300160998430506,-0.033901510512415495,0.42348008385744235,1.4906270238723043,0.1291903574949612,440,0.01087013449358043,-0.46300160998430506,0.2704550272712448,37,-0.44696875100102407,-0.21913976997239015,-3.1958384774306903,0.8378712704099857,-0.557883870842912
"mv_A_free_float in [37.47,983.4] AND pre_pct in [0,0.01568]",194,1.0768483128760586,0.03277390369666322,-0.3597270058571729,0.5187921507399123,0.4587628865979381,1.1902660462737051,0.012001010421625295,163,0.19699556334021828,-0.19041244817588754,1.4768124098988846,31,-0.6265698546260982,-0.26715060342479846,-8.423715552678413,0.7552817175528229,-0.5578889445204058
"mv_A_free_float in [25,217] AND limit_days in [3,5]",995,0.5849312298689359,-0.2059016928930235,-0.4978799694533659,-0.4293611417021406,0.40804020100502514,1.31455548420552,-0.13532552650650942,876,-0.19486560333082192,-0.4978799694533659,-0.38552573228673587,117,-0.2562332002551845,-0.23690530979150903,-0.678719979007256,0.9050570565598176,-0.5579908851567781
"pre_close_sma7_pct in [10.15,15.9] AND price_lowest_30 in [1.461,2.972]",376,0.8322373177704124,-0.07970215520566215,-0.4428824958611147,-0.18542052363776348,0.375,1.7975461045881649,0.12046253299689849,317,-0.014425857413549514,-0.4428824958611147,0.10156098234029057,57,-0.3896373790634362,-0.24835243833096743,-2.0880140450754396,0.8490258826614497,-0.5581106316632474
