20260331 21:56:27- INFO- 开始更新指数、ETF、板块数据
20260331 21:56:27- INFO- ==================================================
20260331 21:56:27- INFO- 开始更新指数日线数据
20260331 21:56:27- INFO- 开始获取数据: 20200101 至 20260331
20260331 21:56:43- INFO- 获取 20200602 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:43- INFO- 获取 20200603 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:43- INFO- 获取 20200604 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:43- INFO- 获取 20200605 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:43- INFO- 获取 20200606 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:43- INFO- 获取 20200607 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:43- INFO- 获取 20200608 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:43- INFO- 获取 20200609 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:44- INFO- 获取 20200610 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:44- INFO- 获取 20200611 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:44- INFO- 获取 20200612 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 15秒后可用
20260331 21:56:44- INFO- 获取 20200613 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:44- INFO- 获取 20200614 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:44- INFO- 获取 20200615 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:44- INFO- 获取 20200616 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:44- INFO- 获取 20200617 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:44- INFO- 获取 20200618 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
