week_id,week_end_date,trading_days_in_week,max_daily_stock_count,limit_up_count,limit_down_count,limit_up_next_ret,limit_down_next_ret,limit_up_event_count,limit_down_event_count,limit_up_ratio,limit_down_ratio,net_limit_ratio,market_week_end_date,benchmark_value_weight_ret,future_return_1d,future_return_3d,future_return_5d,future_return_10d,chase_ret,chase_trade_count,signal_net_limit_ratio,signal_limit_down_next_ret,signal_limit_up_ratio,signal_limit_down_ratio,signal_chase_ret,total_signal_count,base_position,next_week_ret,return_week_end_date,base_model_ret,weighted_signal_value,weighted_position,weighted_model_ret,benchmark_nav,ma_10,ma_20,ma_60,signal_ma20,market_trend,trend_buy_signal,trend_position,trend_model_ret
2025-05,2025-01-27,1,4987,42,42,,,0,0,0.00842189693202326,0.00842189693202326,0.0,2025-01-27,-0.0056078096125281585,-0.0021221010527265882,0.02747248932899171,0.032586687882034227,0.03380812842986192,0.01577589369753956,106,0,0,0,1,1,2,0.75,0.02747248932899149,2025-02-07,0.020604366996743617,0.5,0.0,0.0,1.1000269771636422,1.1217628494706742,1.1048744754769517,1.0188957107266234,2.85,up,true,1.0,0.02747248932899149
2025-06,2025-02-07,3,4992,244,36,0.05261295757029537,0.00047484997729673974,165,35,0.04887820512820513,0.007211538461538462,0.041666666666666664,2025-02-07,0.02747248932899149,0.007683471648735951,0.015300148207238795,0.015179375506985338,0.032365800659878596,0.012594350136608163,643,1,1,0,1,1,4,1.0,0.015179375506985338,2025-02-14,0.015179375506985338,0.75,1.0,0.015179375506985338,1.130247456555373,1.1210423624630883,1.1164714886696712,1.0208455181310592,2.9,up,true,1.0,0.015179375506985338
2025-07,2025-02-14,5,4996,415,9,0.020949309382829576,-0.028011559152669008,337,2,0.08306645316253003,0.001801441152922338,0.08126501200960769,2025-02-14,0.015179375506985338,0.0048110200907860445,0.0034779189164997337,0.01692944672394514,-0.005852426468637151,0.006512774229538042,894,1,0,1,1,1,4,1.0,0.016929446723945363,2025-02-21,0.016929446723945363,0.9000000000000001,1.0,0.016929446723945363,1.1474039071142421,1.119376164453003,1.1225932378991872,1.0232406469589548,2.9,sideways,true,1.0,0.016929446723945363
2025-08,2025-02-21,5,4998,463,29,0.02036579373089492,-0.004238338978528724,353,29,0.09263705482192877,0.005802320928371348,0.08683473389355742,2025-02-21,0.016929446723945363,-0.0005106002163487444,0.0019411177645212163,-0.022402609410096752,-0.0027766091113052838,-0.00042605457050371413,1144,1,1,1,1,1,5,1.0,-0.02240260941009653,2025-02-28,-0.02240260941009653,1.0,1.0,-0.02240260941009653,1.1668288204305794,1.1197759484416108,1.1249540495679806,1.0262142018660205,2.95,sideways,true,1.0,-0.02240260941009653
2025-09,2025-02-28,5,4994,361,68,0.008742140569786868,-0.03868342410213865,317,20,0.0722867440929115,0.013616339607529036,0.05867040448538246,2025-02-28,-0.02240260941009653,0.0006361968200832013,0.00945052559985271,0.020075749472846516,0.034379866231266654,-0.009732745274774872,915,1,0,0,0,0,1,0.5,0.020075749472846294,2025-03-07,0.010037874736423147,0.15,0.0,0.0,1.1406888101180295,1.1186361014617296,1.1283030845174162,1.028355310054048,2.9,sideways,false,0.0,0.0
2025-10,2025-03-07,5,4989,360,51,0.015893516160519792,-0.024878073277067498,308,41,0.07215874924834637,0.010222489476849068,0.0619362597714973,2025-03-07,0.020075749472846294,-0.0010105711811406737,0.0020510872518000323,0.014022602503600545,-0.004639765640726878,-0.001008010944986548,945,1,0,0,0,1,2,0.75,0.014022602503600545,2025-03-14,0.010516951877700409,0.44999999999999996,0.0,0.0,1.1635889928964382,1.1197432363715252,1.131536390212222,1.0312780794719854,2.75,sideways,false,0.0,0.0
2025-11,2025-03-14,5,4992,335,29,0.014004814941855926,-0.0035590457550401604,253,23,0.06710737179487179,0.005809294871794872,0.06129807692307692,2025-03-14,0.014022602503600545,0.00172694316393196,0.0021092491493284182,-0.01840429207223826,-0.028019849109107042,-0.002367435015077147,744,1,1,0,1,1,4,1.0,-0.01840429207223815,2025-03-21,-0.01840429207223815,0.75,1.0,-0.01840429207223815,1.17990553882139,1.1299595705685008,1.1344269263029338,1.0347228514244746,2.7,sideways,true,1.0,-0.01840429207223815
2025-12,2025-03-21,5,4990,290,27,0.022596913129002458,-0.048066891795493484,243,6,0.05811623246492986,0.005410821643286573,0.05270541082164329,2025-03-21,-0.01840429207223815,-0.0017615982511914874,-0.0027380642389904786,-0.009795842584894854,-0.10327828761481117,0.00920829873546837,680,1,0,0,1,1,3,1.0,-0.009795842584894854,2025-03-28,-0.009795842584894854,0.6499999999999999,0.8,-0.007836674067915883,1.1581902126672696,1.1391821556736075,1.1368428124172247,1.0382138607824891,2.65,up,true,1.0,-0.009795842584894854
2025-13,2025-03-28,5,4988,253,131,0.0021909851671733566,-0.048263029782631056,221,106,0.05072173215717723,0.026263031275060144,0.02445870088211708,2025-03-28,-0.009795842584894854,-0.006890271220758359,-0.002415112365247607,-0.09440724352637453,-0.040123008549988515,-0.0014441250744001253,588,0,0,0,0,1,1,0.5,-0.008145961521318523,2025-04-03,-0.004072980760659262,0.3,0.0,-0.0,1.1468447636606152,1.143995598666337,1.1351410160088264,1.0412963654155103,2.5,up,true,1.0,-0.008145961521318523
2025-14,2025-04-03,4,4993,182,85,0.016266972838526024,-0.039516423214056774,131,57,0.03645103144402163,0.017023833366713398,0.019427198077308232,2025-04-03,-0.008145961521318523,-0.08696973411265696,-0.061819283990025675,-0.04098727332533636,-0.03408601571182812,-0.013042232989507107,446,0,0,0,0,0,0,0.0,-0.04098727332533625,2025-04-11,-0.0,0.0,0.0,-0.0,1.1375026103449102,1.147122808977249,1.1351584702263307,1.0455385165820945,2.35,up,false,0.0,-0.0
