factor,horizon,group,mean_return,win_rate,n_obs,因子
net_limit_ratio,5,G4,0.0031628491405025173,0.5632183908045977,87,净涨停占比
net_limit_ratio,5,G5,0.008725084377388918,0.632183908045977,87,净涨停占比
net_limit_ratio,10,G1,0.012668267637058545,0.632183908045977,87,净涨停占比
net_limit_ratio,10,G2,0.011646005634513568,0.5517241379310345,87,净涨停占比
net_limit_ratio,10,G3,0.006750985607093587,0.6046511627906976,86,净涨停占比
net_limit_ratio,10,G4,0.01232422063186375,0.6436781609195402,87,净涨停占比
net_limit_ratio,10,G5,0.014211255449511908,0.7241379310344828,87,净涨停占比
limit_up_next_ret,1,G1,0.003313012725457689,0.6162790697674418,86,涨停次日收益
limit_up_next_ret,1,G2,0.000534038748374852,0.5697674418604651,86,涨停次日收益
limit_up_next_ret,1,G3,0.0010503086596732499,0.6744186046511628,86,涨停次日收益
limit_up_next_ret,1,G4,0.002557965766092353,0.6162790697674418,86,涨停次日收益
limit_up_next_ret,1,G5,0.004244932244847154,0.6395348837209303,86,涨停次日收益
limit_up_next_ret,3,G1,0.008944596369738135,0.6627906976744186,86,涨停次日收益
limit_up_next_ret,3,G2,0.003637415025981999,0.6511627906976745,86,涨停次日收益
limit_up_next_ret,3,G3,0.0029622925621211865,0.6627906976744186,86,涨停次日收益
limit_up_next_ret,3,G4,0.0031517918679908274,0.5581395348837209,86,涨停次日收益
limit_up_next_ret,3,G5,0.003913862427187628,0.5697674418604651,86,涨停次日收益
limit_up_next_ret,5,G1,0.009214625278705178,0.7093023255813954,86,涨停次日收益
limit_up_next_ret,5,G2,0.008489184769496628,0.6511627906976745,86,涨停次日收益
limit_up_next_ret,5,G3,0.0014685202921866486,0.5232558139534884,86,涨停次日收益
limit_up_next_ret,5,G4,0.003960422454561542,0.5930232558139535,86,涨停次日收益
limit_up_next_ret,5,G5,0.0038380076627705026,0.5465116279069767,86,涨停次日收益
limit_up_next_ret,10,G1,0.013975076575224465,0.6046511627906976,86,涨停次日收益
limit_up_next_ret,10,G2,0.012056629185894731,0.7093023255813954,86,涨停次日收益
limit_up_next_ret,10,G3,0.006699986928680653,0.5647058823529412,85,涨停次日收益
limit_up_next_ret,10,G4,0.007458886720642116,0.5697674418604651,86,涨停次日收益
limit_up_next_ret,10,G5,0.01708809914903073,0.686046511627907,86,涨停次日收益
limit_down_next_ret,1,G1,-0.0011490951780812827,0.5,86,跌停次日收益
limit_down_next_ret,1,G2,0.0018838491956390895,0.6470588235294118,85,跌停次日收益
limit_down_next_ret,1,G3,0.002401399643343295,0.6395348837209303,86,跌停次日收益
limit_down_next_ret,1,G4,0.003576649772094103,0.6705882352941176,85,跌停次日收益
limit_down_next_ret,1,G5,0.004437573285951355,0.6627906976744186,86,跌停次日收益
limit_down_next_ret,3,G1,0.0037044059119142507,0.6395348837209303,86,跌停次日收益
limit_down_next_ret,3,G2,0.00559744079641448,0.6588235294117647,85,跌停次日收益
limit_down_next_ret,3,G3,0.0023196026373653407,0.5581395348837209,86,跌停次日收益
limit_down_next_ret,3,G4,0.004966702067915783,0.6588235294117647,85,跌停次日收益
limit_down_next_ret,3,G5,0.005676409574355327,0.5930232558139535,86,跌停次日收益
limit_down_next_ret,5,G1,0.00630516961281095,0.6046511627906976,86,跌停次日收益
limit_down_next_ret,5,G2,0.005228119090649906,0.6705882352941176,85,跌停次日收益
limit_down_next_ret,5,G3,0.0050019203595267955,0.5930232558139535,86,跌停次日收益
limit_down_next_ret,5,G4,0.0034923062197348147,0.6,85,跌停次日收益
