index,factor,horizon,n_obs,pearson_ic,spearman_ic,hac_beta,hac_t,hac_pvalue,directional_ic,q5_minus_q1
中证500,limit_up_ratio,1,435,0.20711247750646533,0.11474232434919887,0.11025621820631291,3.5660509418079305,0.0003624009566596427,0.20711247750646533,0.00923705597900537
中证500,limit_up_ratio,3,435,0.08807878552685483,0.07174136048510017,0.0641908780201717,1.6943814816808869,0.0901928161127192,0.08807878552685483,0.006767819940195135
中证500,limit_up_ratio,5,435,0.035846851563684494,0.05545181667207183,0.034538573002117316,0.6509145310214312,0.5151016607555131,0.035846851563684494,0.0039239788053042545
中证500,limit_up_ratio,10,434,0.06127076889386885,0.11163120954667645,0.08654320554983524,1.0391748078331162,0.29872344451095056,0.06127076889386885,0.005681574292110829
中证500,limit_down_ratio,1,435,-0.001497942383871945,0.012510263792170146,-0.00040193028030351564,-0.0424036748543547,0.9661768988758432,0.001497942383871945,0.00448989385006108
中证500,limit_down_ratio,3,435,0.012793543890660494,0.12101253792669807,0.004699499960097112,0.3206082558335948,0.7485072803957924,-0.012793543890660494,-0.003728807963597098
中证500,limit_down_ratio,5,435,0.038946199952943045,0.14534619462559847,0.01891373284872045,1.1667451222224283,0.24331331476105778,-0.038946199952943045,-0.0054360777643288356
中证500,limit_down_ratio,10,434,0.0838235038130497,0.07400629777272925,0.05950324178443822,2.02106895554603,0.04327262746513687,-0.0838235038130497,-0.004371544384285751
中证500,net_limit_ratio,1,435,0.1071706353810953,0.09088517206701104,0.029104131971951365,1.6710641258072945,0.09470901231474935,0.1071706353810953,0.00929702462883514
中证500,net_limit_ratio,3,435,0.031983410194193825,0.037299345176719796,0.01189073727799134,0.6241990120798921,0.5324968955952312,0.031983410194193825,0.005881924829788032
中证500,net_limit_ratio,5,435,-0.02113082824790133,-0.003517597225313596,-0.010386085896657555,-0.48620960664433754,0.626818560855787,-0.02113082824790133,0.002220270121202894
中证500,net_limit_ratio,10,434,-0.05371170767796532,0.05300416471412627,-0.03861757074411053,-1.0423041635972512,0.2972706826158511,-0.05371170767796532,0.0023003895953563284
中证500,limit_up_next_ret,1,430,0.08729334332629428,0.00814415714323986,0.13797816788355463,1.2929244667765656,0.19603718443620122,0.08729334332629428,0.0020574010458382073
中证500,limit_up_next_ret,3,430,-0.048318133250578085,-0.08864346682293048,-0.10614677760311902,-0.6725777631036446,0.5012159525571123,-0.048318133250578085,-0.006223832314870871
中证500,limit_up_next_ret,5,430,-0.08818343569285322,-0.10381911834455945,-0.25634419953927573,-1.4338323716693768,0.15162010466510178,-0.08818343569285322,-0.00895756956171367
中证500,limit_up_next_ret,10,429,0.007100970765128709,0.04175331297696001,0.03028558462631052,0.1302775730316123,0.8963468229668191,0.007100970765128709,0.0023820451435495197
中证500,limit_down_next_ret,1,428,0.07535167486926979,0.09548288390022724,0.06912837035024881,1.4785002022521123,0.13927394300167442,0.07535167486926979,0.0056538328699736245
中证500,limit_down_next_ret,3,428,-0.007785957253741674,-0.02133426555059771,-0.009994040249319675,-0.16318624131127696,0.8703717988406515,-0.007785957253741674,8.471950023365747e-05
中证500,limit_down_next_ret,5,428,-0.02986771726530851,-0.06626267864202597,-0.050696081488208034,-0.6240350994477265,0.5326045343925054,-0.02986771726530851,-0.0019266794146085525
中证500,limit_down_next_ret,10,427,-0.02174538902270158,-0.01614389878415583,-0.054165074887625383,-0.47469355403781055,0.6350054130575208,-0.02174538902270158,-0.00539887624340782
中证500,chase_ret,1,435,0.29333688101977984,0.2017663429731885,0.3451492502459462,5.12111548196682,3.037335590386964e-07,0.29333688101977984,0.011724478159021182
中证500,chase_ret,3,435,0.09450310854147964,0.11734794886410851,0.1522269439426117,1.3205383603908833,0.18665533726486572,0.09450310854147964,0.008447125170785035
