参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 146, '调整正确率(%)': '54.94', '预计平均亏损改善(%)': '2.3281'}",517.2
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 114, '调整正确率(%)': '62.83', '预计平均亏损改善(%)': '2.2638'}",517.1
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 134, '调整正确率(%)': '56.19', '预计平均亏损改善(%)': '2.2056'}",517.0
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 160, '调整正确率(%)': '60.96', '预计平均亏损改善(%)': '1.7578'}",516.9
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 181, '调整正确率(%)': '55.13', '预计平均亏损改善(%)': '2.2960'}",516.6
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 215, '调整正确率(%)': '55.21', '预计平均亏损改善(%)': '2.2845'}",516.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 251, '调整正确率(%)': '55.17', '预计平均亏损改善(%)': '2.2846'}",516.3
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 137, '调整正确率(%)': '55.39', '预计平均亏损改善(%)': '2.2590'}",516.1
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 205, '调整正确率(%)': '55.21', '预计平均亏损改善(%)': '2.2713'}",515.9
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 246, '调整正确率(%)': '55.35', '预计平均亏损改善(%)': '2.2450'}",515.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 133, '调整正确率(%)': '53.77', '预计平均亏损改善(%)': '2.3807'}",514.9
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 145, '调整正确率(%)': '54.99', '预计平均亏损改善(%)': '2.2658'}",514.9
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 137, '调整正确率(%)': '55.10', '预计平均亏损改善(%)': '2.2427'}",514.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 152, '调整正确率(%)': '54.22', '预计平均亏损改善(%)': '2.3200'}",514.2
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 184, '调整正确率(%)': '54.80', '预计平均亏损改善(%)': '2.2610'}",514.0
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 151, '调整正确率(%)': '59.72', '预计平均亏损改善(%)': '1.7897'}",513.6
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '62.45', '预计平均亏损改善(%)': '1.7829'}",513.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 172, '调整正确率(%)': '54.35', '预计平均亏损改善(%)': '2.2923'}",513.5
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 177, '调整正确率(%)': '54.57', '预计平均亏损改善(%)': '2.2625'}",513.2
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 151, '调整正确率(%)': '55.54', '预计平均亏损改善(%)': '2.1700'}",513.1
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 179, '调整正确率(%)': '54.14', '预计平均亏损改善(%)': '2.2886'}",512.6
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 210, '调整正确率(%)': '53.82', '预计平均亏损改善(%)': '2.3139'}",512.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 129, '调整正确率(%)': '54.41', '预计平均亏损改善(%)': '2.2973'}",512.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 153, '调整正确率(%)': '53.94', '预计平均亏损改善(%)': '2.2973'}",512.2
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 178, '调整正确率(%)': '53.74', '预计平均亏损改善(%)': '2.3132'}",512.1
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 141, '调整正确率(%)': '54.46', '预计平均亏损改善(%)': '2.2391'}",511.8
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 135, '调整正确率(%)': '59.14', '预计平均亏损改善(%)': '1.7967'}",511.7
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 131, '调整正确率(%)': '58.96', '预计平均亏损改善(%)': '1.8002'}",511.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 204, '调整正确率(%)': '53.99', '预计平均亏损改善(%)': '2.2616'}",511.0
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 115, '调整正确率(%)': '59.56', '预计平均亏损改善(%)': '2.3572'}",510.9
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 151, '调整正确率(%)': '54.26', '预计平均亏损改善(%)': '2.2140'}",510.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 128, '调整正确率(%)': '53.88', '预计平均亏损改善(%)': '2.3263'}",510.0
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 132, '调整正确率(%)': '54.58', '预计平均亏损改善(%)': '2.1833'}",510.0
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 130, '调整正确率(%)': '54.75', '预计平均亏损改善(%)': '2.1559'}",509.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 120, '调整正确率(%)': '57.27', '预计平均亏损改善(%)': '2.3156'}",509.3
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 156, '调整正确率(%)': '54.00', '预计平均亏损改善(%)': '2.2192'}",509.3
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 126, '调整正确率(%)': '55.00', '预计平均亏损改善(%)': '2.2690'}",508.8
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 172, '调整正确率(%)': '58.77', '预计平均亏损改善(%)': '1.7574'}",508.7
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 174, '调整正确率(%)': '53.64', '预计平均亏损改善(%)': '2.2332'}",508.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 139, '调整正确率(%)': '54.12', '预计平均亏损改善(%)': '2.1870'}",508.5
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 127, '调整正确率(%)': '54.40', '预计平均亏损改善(%)': '2.2689'}",508.1
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '54.89', '预计平均亏损改善(%)': '2.3080'}",506.8
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 196, '调整正确率(%)': '58.25', '预计平均亏损改善(%)': '1.7550'}",506.7
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 152, '调整正确率(%)': '53.61', '预计平均亏损改善(%)': '2.1861'}",506.5
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '55.29', '预计平均亏损改善(%)': '2.2656'}",506.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 120, '调整正确率(%)': '56.59', '预计平均亏损改善(%)': '2.2946'}",506.0
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 172, '调整正确率(%)': '53.16', '预计平均亏损改善(%)': '2.2093'}",505.8
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 151, '调整正确率(%)': '53.46', '预计平均亏损改善(%)': '2.1634'}",505.0
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 121, '调整正确率(%)': '56.73', '预计平均亏损改善(%)': '2.2162'}",505.0
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 115, '调整正确率(%)': '56.97', '预计平均亏损改善(%)': '2.4362'}",504.9
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 129, '调整正确率(%)': '53.12', '预计平均亏损改善(%)': '2.2228'}",504.6
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 142, '调整正确率(%)': '57.47', '预计平均亏损改善(%)': '1.7745'}",504.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 146, '调整正确率(%)': '52.80', '预计平均亏损改善(%)': '2.2064'}",504.3
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 124, '调整正确率(%)': '55.96', '预计平均亏损改善(%)': '2.1427'}",504.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 145, '调整正确率(%)': '53.40', '预计平均亏损改善(%)': '2.1355'}",503.7
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 168, '调整正确率(%)': '52.83', '预计平均亏损改善(%)': '2.1649'}",502.7
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 144, '调整正确率(%)': '52.97', '预计平均亏损改善(%)': '2.1462'}",502.5
