参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 174, '调整正确率(%)': '53.64', '预计平均亏损改善(%)': '2.2332'}",0.5627239643961478
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 142, '调整正确率(%)': '57.47', '预计平均亏损改善(%)': '2.3661'}",0.5615889506948223
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 158, '调整正确率(%)': '56.41', '预计平均亏损改善(%)': '2.2539'}",0.5614738813649065
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 131, '调整正确率(%)': '58.96', '预计平均亏损改善(%)': '2.4003'}",0.5606073695866284
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 157, '调整正确率(%)': '55.59', '预计平均亏损改善(%)': '2.2971'}",0.5598796333479834
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 215, '调整正确率(%)': '55.21', '预计平均亏损改善(%)': '1.7134'}",0.558403922762258
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 196, '调整正确率(%)': '58.25', '预计平均亏损改善(%)': '1.7550'}",0.5578738260653198
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 154, '调整正确率(%)': '56.44', '预计平均亏损改善(%)': '2.2743'}",0.5575336714669731
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 212, '调整正确率(%)': '55.71', '预计平均亏损改善(%)': '1.6965'}",0.5537009314650267
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 113, '调整正确率(%)': '62.35', '预计平均亏损改善(%)': '2.3603'}",0.5489860155791721
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 172, '调整正确率(%)': '53.16', '预计平均亏损改善(%)': '2.2093'}",0.5486971254015658
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 144, '调整正确率(%)': '56.34', '预计平均亏损改善(%)': '2.3128'}",0.5433293220188244
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '58.26', '预计平均亏损改善(%)': '2.4148'}",0.5416802868075863
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 152, '调整正确率(%)': '54.22', '预计平均亏损改善(%)': '2.3200'}",0.5400650936422745
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 210, '调整正确率(%)': '53.82', '预计平均亏损改善(%)': '1.7354'}",0.5382004359797972
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 148, '调整正确率(%)': '55.30', '预计平均亏损改善(%)': '2.2964'}",0.5377907517422674
